# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003741.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003741.1.all.q/CM03_F_S_S5/counts.txt" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam
Tb927.11.4060	Tb927_11_v5.1	1193639	1194722	+	1084	648	340	308	979
Tb927.11.4070	Tb927_11_v5.1	1195538	1196230	+	693	288	213	75	369
Tb927.11.4080	Tb927_11_v5.1	1197212	1198333	+	1122	70	47	23	309
Tb927.11.4090	Tb927_11_v5.1	1199454	1200135	+	682	647	365	282	746
Tb927.11.4100	Tb927_11_v5.1	1201117	1202223	+	1107	357	326	31	2194
Tb927.11.4120	Tb927_11_v5.1	1204437	1207361	+	2925	1081	977	104	3255
Tb927.11.4130	Tb927_11_v5.1	1207312	1209428	-	2117	1229	1020	209	3197
Tb927.11.4140	Tb927_11_v5.1	1209540	1210344	-	805	382	336	46	863
Tb927.11.4150	Tb927_11_v5.1	1210488	1212678	-	2191	708	469	239	895
Tb927.11.4160	Tb927_11_v5.1	1212799	1217222	-	4424	2029	1486	543	4283
Tb927.11.4170	Tb927_11_v5.1	1217368	1219426	-	2059	897	814	83	8417
Tb927.11.4180	Tb927_11_v5.1	1220527	1224443	-	3917	2746	2104	642	5460
Tb927.11.4190	Tb927_11_v5.1	1225275	1227006	-	1732	518	454	64	1062
Tb927.11.4200	Tb927_11_v5.1	1227170	1229759	-	2590	1969	1161	808	3379
Tb927.11.4210	Tb927_11_v5.1	1230323	1234285	-	3963	2992	2493	499	7334
Tb927.11.4220	Tb927_11_v5.1	1234618	1236709	-	2092	2381	1811	570	7571
Tb927.11.4230	Tb927_11_v5.1	1236833	1240733	-	3901	3159	2611	548	10177
Tb927.11.4240	Tb927_11_v5.1	1241183	1241919	-	737	206	166	40	337
Tb927.11.4250	Tb927_11_v5.1	1242061	1243194	-	1134	652	556	96	1568
Tb927.11.4260	Tb927_11_v5.1	1243683	1244460	-	778	583	423	160	8848
Tb927.11.4270	Tb927_11_v5.1	1244602	1245713	-	1112	279	272	7	937
Tb927.11.4280	Tb927_11_v5.1	1245885	1251934	-	6050	2657	2402	255	9228
Tb11.NT.54	Tb927_11_v5.1	1252041	1252464	-	424	500	423	77	1430
Tb927.11.4290	Tb927_11_v5.1	1252609	1253552	-	944	599	543	56	1128
Tb927.11.4300	Tb927_11_v5.1	1253721	1254582	-	862	2	1	1	3
Tb927.11.4310	Tb927_11_v5.1	1254605	1254952	-	348	175	153	22	214
Tb927.11.4320	Tb927_11_v5.1	1255294	1256796	-	1503	1796	1402	394	3837
Tb927.11.4330	Tb927_11_v5.1	1257032	1257937	-	906	49	33	16	142
Tb927.11.4340	Tb927_11_v5.1	1258060	1261365	-	3306	1261	1021	240	2001
Tb927.11.4350	Tb927_11_v5.1	1261485	1264021	-	2537	1140	764	376	1770
Tb927.11.4360	Tb927_11_v5.1	1264251	1265708	-	1458	1532	1209	323	4299
Tb927.11.4370	Tb927_11_v5.1	1265894	1266589	-	696	412	313	99	2064
Tb927.11.4380	Tb927_11_v5.1	1267089	1273671	-	6583	2965	2257	708	12187
Tb927.11.4390	Tb927_11_v5.1	1273757	1275567	-	1811	777	596	181	2528
Tb927.11.4400	Tb927_11_v5.1	1275688	1277875	-	2188	1653	1363	290	2786
Tb927.11.4420	Tb927_11_v5.1	1278742	1282255	-	3514	767	605	162	4712
Tb927.11.4430	Tb927_11_v5.1	1282405	1286281	-	3877	2027	1397	630	3021
Tb927.11.4440	Tb927_11_v5.1	1288542	1289267	+	726	235	192	43	926
Tb927.11.4450	Tb927_11_v5.1	1291905	1292537	+	633	170	154	16	881
Tb927.11.4460	Tb927_11_v5.1	1292763	1293467	+	705	242	221	21	1304
Tb927.11.4470	Tb927_11_v5.1	1293589	1296908	+	3320	950	591	359	2164
Tb927.11.4480	Tb927_11_v5.1	1297110	1299247	+	2138	60	56	4	190
Tb927.11.4490	Tb927_11_v5.1	1299397	1301487	+	2091	511	398	113	1665
Tb927.11.4500	Tb927_11_v5.1	1301791	1304779	+	2989	2726	2149	577	12215
Tb927.11.4510	Tb927_11_v5.1	1304917	1310816	+	5900	2799	2261	538	5643
Tb927.11.4520	Tb927_11_v5.1	1310972	1315317	+	4346	3602	2886	716	9460
Tb927.11.4530	Tb927_11_v5.1	1315661	1316432	+	772	338	273	65	1582
Tb927.11.4540	Tb927_11_v5.1	1316875	1318824	+	1950	151	115	36	605
Tb927.11.4550	Tb927_11_v5.1	1318945	1320067	+	1123	231	208	23	892
Tb927.11.4560	Tb927_11_v5.1	1320540	1321592	+	1053	427	395	32	1513
Tb927.11.4570	Tb927_11_v5.1	1322219	1324272	+	2054	653	542	111	2546
Tb927.11.4590	Tb927_11_v5.1	1324513	1326172	+	1660	537	451	86	2405
Tb927.11.4610	Tb927_11_v5.1	1326632	1328621	+	1990	313	273	40	1152
Tb927.11.4620	Tb927_11_v5.1	1330177	1333073	+	2897	49	43	6	249
Tb927.11.4630	Tb927_11_v5.1	1333012	1335530	+	2519	566	497	69	1313
Tb927.11.4640	Tb927_11_v5.1	1335587	1339378	+	3792	881	663	218	1450
Tb927.11.4650	Tb927_11_v5.1;Tb927_11_v5.1	1339506;1343301	1344112;1344112	+;+	4607	3136	2699	437	6693
Tb927.11.4660	Tb927_11_v5.1	1344558	1347376	+	2819	983	819	164	1968
Tb927.11.4670	Tb927_11_v5.1	1348348	1349281	+	934	291	247	44	338
Tb927.11.4680	Tb927_11_v5.1	1349440	1350743	+	1304	124	89	35	307
Tb927.11.4690	Tb927_11_v5.1	1352306	1356609	+	4304	1857	1435	422	3124
Tb927.11.4700	Tb927_11_v5.1	1356791	1357854	+	1064	403	298	105	479
Tb927.11.4710	Tb927_11_v5.1	1358077	1359627	+	1551	731	658	73	1343
Tb927.11.4720	Tb927_11_v5.1	1359729	1360301	+	573	64	60	4	77
Tb927.11.4730	Tb927_11_v5.1	1360603	1362032	+	1430	900	768	132	2531
Tb927.11.4740	Tb927_11_v5.1	1362148	1364463	+	2316	1107	948	159	2395
Tb927.11.4750	Tb927_11_v5.1	1364237	1365839	+	1603	1765	1473	292	3153
Tb927.11.4760	Tb927_11_v5.1	1366438	1367307	+	870	2791	1278	1513	5488
Tb927.11.4770	Tb927_11_v5.1	1368735	1377060	-	8326	5321	4116	1205	14774
Tb927.11.4780	Tb927_11_v5.1	1378218	1379571	+	1354	352	260	92	597
Tb927.11.4790	Tb927_11_v5.1	1379916	1380729	+	814	77	75	2	567
Tb11.NT.60	Tb927_11_v5.1	1380923	1381378	+	456	84	79	5	149
Tb927.11.4800	Tb927_11_v5.1	1383187	1386086	+	2900	899	604	295	1502
Tb927.11.4810	Tb927_11_v5.1	1386222	1386779	+	558	1	0	1	1
Tb927.11.4820	Tb927_11_v5.1	1386982	1387561	+	580	0	0	0	0
Tb927.11.4830	Tb927_11_v5.1	1387743	1389170	+	1428	941	803	138	5139
Tb927.11.4840	Tb927_11_v5.1	1389467	1390831	+	1365	736	448	288	935
Tb927.11.4850	Tb927_11_v5.1	1392488	1393988	+	1501	1125	870	255	2277
Tb927.11.4860	Tb927_11_v5.1	1394190	1395772	+	1583	1587	1115	472	4893
Tb927.11.4870	Tb927_11_v5.1	1395910	1396906	+	997	228	204	24	293
Tb927.11.4880	Tb927_11_v5.1	1397066	1398303	+	1238	499	390	109	660
Tb927.11.4890	Tb927_11_v5.1	1398457	1399845	+	1389	556	444	112	2029
Tb927.11.4900	Tb927_11_v5.1	1400273	1402362	+	2090	255	212	43	320
Tb927.11.4910	Tb927_11_v5.1	1402818	1404087	+	1270	1106	952	154	3821
Tb927.11.4920	Tb927_11_v5.1	1405623	1406609	+	987	293	284	9	582
Tb927.11.4930	Tb927_11_v5.1	1406926	1407851	+	926	62	58	4	72
Tb927.11.4940	Tb927_11_v5.1	1407944	1409673	+	1730	2762	1360	1402	4359
Tb927.11.4950	Tb927_11_v5.1	1409804	1415740	+	5937	2523	1826	697	5656
Tb927.11.4960	Tb927_11_v5.1	1415925	1417199	+	1275	46	41	5	419
Tb927.11.4970	Tb927_11_v5.1	1417385	1418854	+	1470	272	247	25	498
Tb927.11.4980	Tb927_11_v5.1	1419026	1420932	+	1907	2249	1747	502	8050
Tb927.11.4990	Tb927_11_v5.1	1421920	1425115	+	3196	2129	1730	399	4262
Tb927.11.5000	Tb927_11_v5.1	1425338	1428022	+	2685	77	70	7	217
Tb927.11.5010	Tb927_11_v5.1	1428604	1430163	+	1560	496	427	69	3278
Tb927.11.5020	Tb927_11_v5.1	1431284	1436930	+	5647	2541	1930	611	5347
Tb927.11.5030	Tb927_11_v5.1	1437035	1438818	+	1784	841	707	134	2774
Tb927.11.5040	Tb927_11_v5.1	1438973	1440526	+	1554	351	336	15	605
Tb927.11.5050	Tb927_11_v5.1	1441640	1443735	+	2096	302	273	29	645
Tb927.11.5060	Tb927_11_v5.1	1444612	1448048	+	3437	1569	1209	360	3209
Tb927.11.5070	Tb927_11_v5.1	1448228	1451018	+	2791	794	627	167	2400
Tb927.11.5080	Tb927_11_v5.1	1451378	1453880	+	2503	886	765	121	4031
Tb927.11.5090	Tb927_11_v5.1	1454038	1455405	+	1368	826	749	77	1797
Tb927.11.5100	Tb927_11_v5.1	1457741	1460531	+	2791	2014	1300	714	5196
Tb927.11.5110	Tb927_11_v5.1	1461314	1463017	+	1704	1063	680	383	1466
Tb927.11.5120	Tb927_11_v5.1	1463122	1465796	+	2675	2572	1992	580	5814
Tb927.11.5130	Tb927_11_v5.1	1466276	1468374	+	2099	749	634	115	3273
Tb927.11.5140	Tb927_11_v5.1	1468555	1469658	+	1104	373	320	53	553
Tb927.11.5150	Tb927_11_v5.1	1469986	1472046	+	2061	933	800	133	2314
Tb927.11.5160	Tb927_11_v5.1	1472253	1475411	+	3159	1860	1223	637	7308
Tb927.11.5170	Tb927_11_v5.1	1475734	1476881	+	1148	790	636	154	1684
Tb927.11.5180	Tb927_11_v5.1	1477047	1478236	+	1190	1336	1100	236	4716
Tb927.11.5190	Tb927_11_v5.1	1478393	1484610	+	6218	1482	1299	183	3794
Tb927.11.5200	Tb927_11_v5.1	1484736	1485681	+	946	198	136	62	251
Tb927.11.5210	Tb927_11_v5.1	1485798	1488037	+	2240	344	288	56	850
Tb927.11.5220	Tb927_11_v5.1	1488209	1490963	+	2755	1974	1327	647	11906
Tb927.11.5230	Tb927_11_v5.1	1491179	1492390	+	1212	396	276	120	1011
Tb927.11.5240	Tb927_11_v5.1	1492561	1494527	+	1967	849	710	139	3998
Tb927.11.5250	Tb927_11_v5.1	1494627	1499496	+	4870	2454	2066	388	6279
Tb927.11.5260	Tb927_11_v5.1	1500320	1503526	+	3207	1352	1029	323	3487
Tb927.11.5270	Tb927_11_v5.1	1504471	1507285	+	2815	2558	1622	936	5686
Tb927.11.5280	Tb927_11_v5.1	1507771	1508212	+	442	310	256	54	407
Tb927.11.5290	Tb927_11_v5.1	1508825	1510191	+	1367	984	861	123	3716
Tb927.11.5300	Tb927_11_v5.1	1510626	1512415	+	1790	1628	1477	151	3526
Tb927.11.5310	Tb927_11_v5.1	1513968	1516065	+	2098	1652	1347	305	7698
Tb927.11.5330	Tb927_11_v5.1	1518224	1520959	+	2736	1012	851	161	5871
Tb927.11.5340	Tb927_11_v5.1	1521085	1524111	+	3027	2093	1633	460	9373
Tb927.11.5350	Tb927_11_v5.1	1524253	1527517	+	3265	1521	1138	383	6724
Tb927.11.5360	Tb927_11_v5.1	1527886	1529829	+	1944	2265	1434	831	9020
Tb927.11.5365	Tb927_11_v5.1	1529940	1530306	+	367	55	51	4	222
Tb927.11.5370	Tb927_11_v5.1	1530553	1532766	+	2214	849	689	160	1964
Tb927.11.5380	Tb927_11_v5.1	1533313	1534189	+	877	468	350	118	911
Tb927.11.5390	Tb927_11_v5.1	1534436	1535193	+	758	473	318	155	3017
Tb927.11.5400	Tb927_11_v5.1	1535597	1537387	+	1791	946	786	160	2593
Tb927.11.5410	Tb927_11_v5.1	1537736	1539900	+	2165	1111	897	214	5674
Tb927.11.5420	Tb927_11_v5.1	1541349	1542894	+	1546	1022	934	88	5267
Tb927.11.5430	Tb927_11_v5.1	1543163	1546605	+	3443	981	862	119	2326
Tb927.11.5440	Tb927_11_v5.1	1546758	1548607	+	1850	851	389	462	1311
Tb927.11.5450	Tb927_11_v5.1	1550261	1553187	+	2927	1282	933	349	6637
Tb927.11.5460	Tb927_11_v5.1	1553276	1553972	+	697	447	418	29	1382
Tb927.11.5470	Tb927_11_v5.1	1554246	1555599	+	1354	686	642	44	1389
Tb927.11.5480	Tb927_11_v5.1	1555734	1557488	+	1755	535	435	100	2172
Tb927.11.5490	Tb927_11_v5.1	1557604	1562533	+	4930	1906	1325	581	4488
Tb927.11.5500	Tb927_11_v5.1	1562707	1565192	+	2486	2227	1478	749	4249
Tb927.11.5510	Tb927_11_v5.1	1565734	1566992	+	1259	183	158	25	489
Tb927.11.5520	Tb927_11_v5.1	1567242	1568289	+	1048	146	138	8	1555
Tb927.11.5530	Tb927_11_v5.1	1568822	1569946	+	1125	507	409	98	694
Tb927.11.5540	Tb927_11_v5.1	1570102	1571759	+	1658	246	226	20	2752
Tb927.11.5550	Tb927_11_v5.1	1571888	1575056	+	3169	453	419	34	1633
Tb927.11.5560	Tb927_11_v5.1	1575217	1577936	+	2720	571	434	137	1454
Tb927.11.5570	Tb927_11_v5.1	1578167	1580648	+	2482	959	527	432	4283
Tb927.11.5580	Tb927_11_v5.1	1581212	1582557	+	1346	885	644	241	1159
Tb927.11.5590	Tb927_11_v5.1	1582813	1585649	+	2837	1699	1496	203	3644
Tb927.11.5600	Tb927_11_v5.1	1585545	1586067	+	523	319	236	83	397
Tb927.11.5610	Tb927_11_v5.1	1587216	1588526	+	1311	109	72	37	140
Tb927.11.5620	Tb927_11_v5.1	1588959	1590341	+	1383	645	569	76	1668
Tb927.11.5630	Tb927_11_v5.1	1590674	1592425	+	1752	1740	1349	391	4752
Tb927.11.5640	Tb927_11_v5.1	1592968	1596699	+	3732	2057	1702	355	5651
Tb927.11.5650	Tb927_11_v5.1	1596889	1598767	+	1879	1894	1603	291	7879
Tb927.11.5660	Tb927_11_v5.1	1599442	1600904	+	1463	508	457	51	951
Tb927.11.5670	Tb927_11_v5.1	1601015	1603026	+	2012	485	383	102	657
Tb927.11.5680	Tb927_11_v5.1	1603286	1604016	+	731	27	17	10	131
Tb927.11.5690	Tb927_11_v5.1	1604876	1608112	+	3237	1625	1357	268	5380
Tb927.11.5700	Tb927_11_v5.1	1608661	1614002	+	5342	2618	1943	675	5819
Tb927.11.5710	Tb927_11_v5.1	1614400	1616348	+	1949	668	566	102	1576
Tb927.11.5720	Tb927_11_v5.1	1616571	1619474	+	2904	302	283	19	1208
Tb927.11.5730	Tb927_11_v5.1	1620704	1624108	+	3405	1205	1087	118	8103
Tb927.11.5740	Tb927_11_v5.1	1624221	1627475	+	3255	1324	1067	257	3284
Tb927.11.5750	Tb927_11_v5.1	1628561	1631355	+	2795	740	615	125	1426
Tb927.11.5760	Tb927_11_v5.1	1632352	1633615	+	1264	868	520	348	1115
Tb927.11.5770	Tb927_11_v5.1	1633739	1640705	+	6967	3097	2545	552	6404
Tb927.11.5780	Tb927_11_v5.1	1640858	1644711	+	3854	1424	1114	310	3285
Tb927.11.5790	Tb927_11_v5.1	1644873	1646849	+	1977	359	278	81	867
Tb927.11.5800	Tb927_11_v5.1	1647429	1650142	+	2714	2658	2178	480	5433
Tb927.11.5810	Tb927_11_v5.1	1650225	1651101	+	877	210	118	92	223
Tb927.11.5820	Tb927_11_v5.1	1651586	1652955	+	1370	669	543	126	986
Tb927.11.5830	Tb927_11_v5.1	1652885	1654482	+	1598	649	614	35	3312
Tb927.11.5840	Tb927_11_v5.1	1654839	1656121	+	1283	299	277	22	856
Tb927.11.5850	Tb927_11_v5.1	1656913	1659170	+	2258	407	287	120	2034
Tb927.11.5855	Tb927_11_v5.1	1659636	1660211	+	576	420	370	50	632
Tb927.11.5860	Tb927_11_v5.1	1661803	1663649	+	1847	447	253	194	1052
Tb927.11.5870	Tb927_11_v5.1	1665249	1667468	+	2220	1094	777	317	2791
Tb927.11.5880	Tb927_11_v5.1	1667617	1670652	+	3036	2160	1852	308	3276
Tb927.11.5890	Tb927_11_v5.1	1670956	1671834	+	879	481	468	13	2213
Tb927.11.5900	Tb927_11_v5.1	1671963	1675074	+	3112	1175	1038	137	2531
Tb927.11.5910	Tb927_11_v5.1	1675281	1679087	+	3807	1558	1094	464	3990
Tb927.11.5920	Tb927_11_v5.1	1679373	1681948	+	2576	1431	1197	234	3017
Tb927.11.5940	Tb927_11_v5.1	1684697	1689769	-	5073	1557	1174	383	2723
Tb927.11.5950	Tb927_11_v5.1	1690980	1691784	-	805	97	83	14	209
Tb927.11.5960	Tb927_11_v5.1	1691937	1692713	-	777	386	370	16	1756
Tb927.11.5970	Tb927_11_v5.1	1693646	1695959	-	2314	563	534	29	1225
Tb927.11.5980	Tb927_11_v5.1	1696062	1697394	-	1333	196	150	46	1007
Tb927.11.5990	Tb927_11_v5.1	1697523	1699782	-	2260	670	591	79	2055
Tb927.11.6000	Tb927_11_v5.1	1699988	1701468	-	1481	466	370	96	833
Tb927.11.6010	Tb927_11_v5.1	1701618	1702363	-	746	545	330	215	1697
Tb927.11.6020	Tb927_11_v5.1	1702648	1703480	-	833	84	79	5	116
Tb11.NT.73	Tb927_11_v5.1	1703554	1703972	-	419	627	563	64	1113
Tb927.11.6030	Tb927_11_v5.1	1704106	1704946	-	841	343	326	17	1214
Tb927.11.6040	Tb927_11_v5.1	1705115	1707925	-	2811	639	452	187	1117
Tb927.11.6050	Tb927_11_v5.1	1708415	1713646	-	5232	1039	871	168	3483
Tb927.11.6060	Tb927_11_v5.1	1713786	1715542	-	1757	835	621	214	1036
Tb927.11.6070	Tb927_11_v5.1	1715681	1717094	-	1414	209	125	84	225
Tb927.11.6080	Tb927_11_v5.1	1717574	1718156	-	583	530	437	93	993
Tb927.11.6090	Tb927_11_v5.1	1718567	1719640	-	1074	170	134	36	192
Tb927.11.6100	Tb927_11_v5.1	1719934	1720937	-	1004	90	82	8	120
Tb927.11.6120	Tb927_11_v5.1	1721415	1728451	-	7037	3207	2721	486	12248
Tb927.11.6130	Tb927_11_v5.1	1729071	1731442	-	2372	683	451	232	789
Tb927.11.6140	Tb927_11_v5.1	1731644	1732195	-	552	33	30	3	33
Tb927.11.6150	Tb927_11_v5.1	1732389	1734032	-	1644	401	373	28	2301
Tb927.11.6160	Tb927_11_v5.1	1734176	1736731	-	2556	141	105	36	286
Tb927.11.6170	Tb927_11_v5.1	1736859	1741577	-	4719	518	481	37	3224
Tb927.11.6180	Tb927_11_v5.1	1742400	1742952	-	553	3	1	2	3
Tb927.11.6190	Tb927_11_v5.1	1743102	1743832	-	731	579	516	63	1352
Tb927.11.6200	Tb927_11_v5.1	1743967	1744519	-	553	1	0	1	1
Tb927.11.6210	Tb927_11_v5.1	1744669	1747868	-	3200	2532	2047	485	11391
Tb927.11.6220	Tb927_11_v5.1	1748354	1751339	-	2986	1948	1400	548	3696
Tb927.11.6230	Tb927_11_v5.1	1753966	1755611	-	1646	259	248	11	1715
Tb927.11.6240	Tb927_11_v5.1	1757722	1759908	-	2187	558	455	103	1789
Tb927.11.6250	Tb927_11_v5.1	1760029	1761417	-	1389	817	732	85	4052
Tb927.11.6260	Tb927_11_v5.1	1761549	1764891	-	3343	2036	1723	313	5506
Tb927.11.6270	Tb927_11_v5.1	1765003	1767260	-	2258	389	250	139	575
Tb927.11.6280	Tb927_11_v5.1	1767587	1771147	-	3561	839	695	144	2833
Tb927.11.6290	Tb927_11_v5.1	1771280	1772110	-	831	401	327	74	553
Tb927.11.6300	Tb927_11_v5.1	1772251	1772908	-	658	84	81	3	172
Tb927.11.6310	Tb927_11_v5.1	1773138	1774012	-	875	51	36	15	56
Tb927.11.6320	Tb927_11_v5.1	1776729	1778210	-	1482	233	224	9	1271
Tb927.11.6330	Tb927_11_v5.1	1778323	1783062	-	4740	1814	1252	562	2575
Tb927.11.6340	Tb927_11_v5.1	1783216	1784850	-	1635	1492	1187	305	2664
Tb927.11.6350	Tb927_11_v5.1	1785113	1789003	-	3891	3865	2321	1544	8872
Tb927.11.6360	Tb927_11_v5.1	1789575	1790237	-	663	715	488	227	2605
Tb927.11.6370	Tb927_11_v5.1	1790783	1793749	-	2967	575	426	149	2610
Tb927.11.6380	Tb927_11_v5.1	1794161	1795100	-	940	750	594	156	1294
Tb927.11.6390	Tb927_11_v5.1	1796497	1797708	-	1212	219	202	17	400
Tb11.NT.81	Tb927_11_v5.1	1797819	1798168	-	350	36	28	8	129
Tb927.11.6400	Tb927_11_v5.1	1798875	1802066	-	3192	1142	799	343	4683
Tb927.11.6410	Tb927_11_v5.1	1802687	1807213	-	4527	3053	1982	1071	8453
Tb927.11.6420	Tb927_11_v5.1	1807487	1812015	-	4529	1545	1171	374	2662
Tb927.11.6430	Tb927_11_v5.1	1813353	1817796	-	4444	1472	1070	402	2840
Tb927.11.6440	Tb927_11_v5.1	1818005	1822962	-	4958	314	267	47	530
Tb927.11.6450	Tb927_11_v5.1	1822762	1825021	-	2260	1559	1165	394	2561
Tb927.11.6460	Tb927_11_v5.1	1825897	1828885	-	2989	1088	819	269	5851
Tb927.11.6470	Tb927_11_v5.1	1829009	1829826	-	818	572	500	72	2441
Tb927.11.6480	Tb927_11_v5.1	1829950	1832337	-	2388	539	407	132	2511
Tb927.11.6490	Tb927_11_v5.1	1832439	1833266	-	828	526	459	67	970
Tb927.11.6500	Tb927_11_v5.1	1833484	1834344	-	861	5	0	5	5
Tb927.11.6510	Tb927_11_v5.1	1834485	1835187	-	703	3	2	1	3
Tb927.11.6520	Tb927_11_v5.1	1835291	1836125	-	835	840	688	152	3463
Tb927.11.6530	Tb927_11_v5.1	1836934	1838254	-	1321	399	243	156	703
Tb927.11.6540	Tb927_11_v5.1	1838654	1840328	-	1675	2131	1589	542	5437
Tb927.11.6550	Tb927_11_v5.1	1841404	1843897	-	2494	1112	990	122	4950
Tb927.11.6560	Tb927_11_v5.1	1844074	1845707	-	1634	432	340	92	1721
Tb927.11.6565	Tb927_11_v5.1	1845873	1846370	-	498	821	527	294	1676
Tb11.NT.84	Tb927_11_v5.1	1846485	1846710	-	226	695	583	112	2684
Tb927.11.6570	Tb927_11_v5.1	1847068	1849671	-	2604	1838	1612	226	4491
Tb927.11.6580	Tb927_11_v5.1	1849785	1852153	-	2369	89	56	33	118
Tb927.11.6590	Tb927_11_v5.1	1852358	1855046	-	2689	1028	796	232	2169
Tb927.11.6600	Tb927_11_v5.1	1859694	1866581	-	6888	4073	2830	1243	6885
Tb927.11.6610	Tb927_11_v5.1	1866698	1867861	-	1164	696	555	141	1053
Tb927.11.6620	Tb927_11_v5.1	1867980	1869443	-	1464	411	356	55	728
Tb927.11.6630	Tb927_11_v5.1	1869603	1872274	-	2672	985	751	234	3551
Tb927.11.6640	Tb927_11_v5.1	1872384	1873468	-	1085	446	394	52	1309
Tb927.11.6650	Tb927_11_v5.1	1873591	1879381	-	5791	2371	2072	299	4842
Tb927.11.6660	Tb927_11_v5.1	1880004	1883022	-	3019	1254	789	465	1873
Tb927.11.6670	Tb927_11_v5.1	1883111	1885544	-	2434	1701	1279	422	3359
Tb927.11.6680	Tb927_11_v5.1	1885709	1888289	-	2581	1401	1188	213	2889
Tb927.11.6690	Tb927_11_v5.1	1889244	1890482	-	1239	340	261	79	2328
Tb927.11.6700	Tb927_11_v5.1	1890636	1892394	-	1759	453	300	153	1594
Tb927.11.6710	Tb927_11_v5.1	1892522	1893773	-	1252	160	151	9	213
Tb927.11.6720	Tb927_11_v5.1	1894008	1897334	-	3327	978	841	137	4936
Tb927.11.6730	Tb927_11_v5.1	1898343	1898930	-	588	567	447	120	768
Tb927.11.tRNA_Gly_1	Tb927_11_v5.1	1898859	1898929	+	71	0	0	0	0
Tb927.11.6740	Tb927_11_v5.1	1903707	1905769	-	2063	1636	1478	158	3506
Tb927.11.6750	Tb927_11_v5.1	1906307	1908157	-	1851	856	519	337	2196
Tb927.11.6760	Tb927_11_v5.1	1908271	1910623	-	2353	555	358	197	1123
Tb927.11.6770	Tb927_11_v5.1	1910907	1913175	-	2269	1468	1138	330	7901
Tb927.11.6780	Tb927_11_v5.1	1913325	1915110	-	1786	768	554	214	5026
Tb927.11.6790	Tb927_11_v5.1	1915589	1917943	-	2355	667	597	70	1296
Tb927.11.6800	Tb927_11_v5.1	1918065	1919517	-	1453	17	11	6	18
Tb927.11.6810	Tb927_11_v5.1	1920877	1923832	-	2956	1049	879	170	2523
Tb927.11.6820	Tb927_11_v5.1	1923956	1925794	-	1839	249	240	9	758
Tb927.11.6830	Tb927_11_v5.1	1925930	1929286	-	3357	691	606	85	2998
Tb927.11.6840	Tb927_11_v5.1	1929909	1931558	-	1650	983	797	186	2408
Tb927.11.6850	Tb927_11_v5.1	1931749	1932873	-	1125	999	643	356	2098
Tb927.11.6860	Tb927_11_v5.1	1932710	1935712	-	3003	183	135	48	371
Tb927.11.6870	Tb927_11_v5.1	1934227	1936899	-	2673	29	26	3	310
Tb927.11.6890	Tb927_11_v5.1	1938652	1942238	-	3587	1816	1568	248	14999
Tb927.11.6900	Tb927_11_v5.1	1942960	1946968	-	4009	3446	2490	956	8002
Tb927.11.6910	Tb927_11_v5.1	1947384	1950664	-	3281	1145	953	192	2566
Tb927.11.6920	Tb927_11_v5.1	1951187	1956229	-	5043	699	583	116	3366
Tb927.11.6930	Tb927_11_v5.1	1956360	1957201	-	842	104	100	4	241
Tb927.11.6940	Tb927_11_v5.1	1957689	1958870	-	1182	237	164	73	2444
Tb927.11.6950	Tb927_11_v5.1	1959042	1959701	-	660	94	62	32	100
Tb927.11.6960	Tb927_11_v5.1	1959751	1961521	-	1771	253	185	68	288
Tb927.11.6970	Tb927_11_v5.1;Tb927_11_v5.1	1961993;1961993	1963100;1963206	-;-	1214	960	856	104	1959
Tb927.11.6980	Tb927_11_v5.1	1963860	1965836	-	1977	675	512	163	2101
Tb927.11.6990	Tb927_11_v5.1	1966104	1969780	-	3677	2184	1473	711	4555
Tb927.11.7000	Tb927_11_v5.1	1972417	1973032	-	616	91	65	26	217
Tb927.11.7010	Tb927_11_v5.1	1973618	1976512	-	2895	1109	975	134	2240
Tb927.11.7020	Tb927_11_v5.1	1977488	1978443	-	956	124	116	8	265
Tb927.11.7030	Tb927_11_v5.1	1978549	1980055	-	1507	1214	842	372	2893
Tb927.11.7040	Tb927_11_v5.1	1980307	1980736	-	430	790	642	148	1340
Tb927.11.7045	Tb927_11_v5.1	1981051	1981459	-	409	483	340	143	754
Tb927.11.7050	Tb927_11_v5.1	1981602	1982796	-	1195	723	569	154	5198
Tb927.11.7060	Tb927_11_v5.1	1982996	1984790	-	1795	915	736	179	3171
Tb927.11.7070	Tb927_11_v5.1	1984888	1987854	-	2967	2060	1386	674	7861
