# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003740.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/counts.txt" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam
Tb927.11.5890	Tb927_11_v5.1	1670956	1671834	+	879	429	399	30	1368
Tb927.11.5900	Tb927_11_v5.1	1671963	1675074	+	3112	869	730	139	1593
Tb927.11.5910	Tb927_11_v5.1	1675281	1679087	+	3807	1226	785	441	2864
Tb927.11.5920	Tb927_11_v5.1	1679373	1681948	+	2576	1257	1050	207	2373
Tb927.11.5940	Tb927_11_v5.1	1684697	1689769	-	5073	1191	853	338	1625
Tb927.11.5950	Tb927_11_v5.1	1690980	1691784	-	805	56	47	9	125
Tb927.11.5960	Tb927_11_v5.1	1691937	1692713	-	777	323	307	16	1146
Tb927.11.5970	Tb927_11_v5.1	1693646	1695959	-	2314	519	456	63	1067
Tb927.11.5980	Tb927_11_v5.1	1696062	1697394	-	1333	207	149	58	1035
Tb927.11.5990	Tb927_11_v5.1	1697523	1699782	-	2260	752	634	118	1924
Tb927.11.6000	Tb927_11_v5.1	1699988	1701468	-	1481	385	297	88	519
Tb927.11.6010	Tb927_11_v5.1	1701618	1702363	-	746	419	216	203	992
Tb927.11.6020	Tb927_11_v5.1	1702648	1703480	-	833	27	23	4	42
Tb11.NT.73	Tb927_11_v5.1	1703554	1703972	-	419	570	469	101	828
Tb927.11.6030	Tb927_11_v5.1	1704106	1704946	-	841	316	295	21	906
Tb927.11.6040	Tb927_11_v5.1	1705115	1707925	-	2811	584	411	173	900
Tb927.11.6050	Tb927_11_v5.1	1708415	1713646	-	5232	983	822	161	2603
Tb927.11.6060	Tb927_11_v5.1	1713786	1715542	-	1757	877	561	316	1372
Tb927.11.6070	Tb927_11_v5.1	1715681	1717094	-	1414	176	103	73	192
Tb927.11.6080	Tb927_11_v5.1	1717574	1718156	-	583	335	252	83	679
Tb927.11.6090	Tb927_11_v5.1	1718567	1719640	-	1074	115	69	46	122
Tb927.11.6100	Tb927_11_v5.1	1719934	1720937	-	1004	101	93	8	153
Tb927.11.6120	Tb927_11_v5.1	1721415	1728451	-	7037	2814	2242	572	9595
Tb927.11.6130	Tb927_11_v5.1	1729071	1731442	-	2372	912	531	381	1038
Tb927.11.6140	Tb927_11_v5.1	1731644	1732195	-	552	24	20	4	24
Tb927.11.6150	Tb927_11_v5.1	1732389	1734032	-	1644	337	321	16	2015
Tb927.11.6160	Tb927_11_v5.1	1734176	1736731	-	2556	155	99	56	212
Tb927.11.6170	Tb927_11_v5.1	1736859	1741577	-	4719	472	435	37	2181
Tb927.11.6180	Tb927_11_v5.1	1742400	1742952	-	553	4	1	3	4
Tb927.11.6190	Tb927_11_v5.1	1743102	1743832	-	731	407	348	59	795
Tb927.11.6200	Tb927_11_v5.1	1743967	1744519	-	553	1	1	0	1
Tb927.11.6210	Tb927_11_v5.1	1744669	1747868	-	3200	1885	1354	531	6538
Tb927.11.6220	Tb927_11_v5.1	1748354	1751339	-	2986	1545	1006	539	2516
Tb927.11.6230	Tb927_11_v5.1	1753966	1755611	-	1646	230	214	16	940
Tb927.11.6240	Tb927_11_v5.1	1757722	1759908	-	2187	390	287	103	813
Tb927.11.6250	Tb927_11_v5.1	1760029	1761417	-	1389	531	447	84	2429
Tb927.11.6260	Tb927_11_v5.1	1761549	1764891	-	3343	1576	1261	315	3101
Tb927.11.6270	Tb927_11_v5.1	1765003	1767260	-	2258	459	258	201	671
Tb927.11.6280	Tb927_11_v5.1	1767587	1771147	-	3561	828	625	203	1741
Tb927.11.6290	Tb927_11_v5.1	1771280	1772110	-	831	285	239	46	386
Tb927.11.6300	Tb927_11_v5.1	1772251	1772908	-	658	64	64	0	127
Tb927.11.6310	Tb927_11_v5.1	1773138	1774012	-	875	15	4	11	16
Tb927.11.6320	Tb927_11_v5.1	1776729	1778210	-	1482	215	201	14	1272
Tb927.11.6330	Tb927_11_v5.1	1778323	1783062	-	4740	1518	915	603	1823
Tb927.11.6340	Tb927_11_v5.1	1783216	1784850	-	1635	1059	862	197	1566
Tb927.11.6350	Tb927_11_v5.1	1785113	1789003	-	3891	3043	1699	1344	5477
Tb927.11.6360	Tb927_11_v5.1	1789575	1790237	-	663	602	366	236	1778
Tb927.11.6370	Tb927_11_v5.1	1790783	1793749	-	2967	375	262	113	1501
Tb927.11.6380	Tb927_11_v5.1	1794161	1795100	-	940	467	393	74	880
Tb927.11.6390	Tb927_11_v5.1	1796497	1797708	-	1212	248	226	22	475
Tb11.NT.81	Tb927_11_v5.1	1797819	1798168	-	350	14	9	5	167
Tb927.11.6400	Tb927_11_v5.1	1798875	1802066	-	3192	890	621	269	2054
Tb927.11.6410	Tb927_11_v5.1	1802687	1807213	-	4527	2905	1780	1125	5956
Tb927.11.6420	Tb927_11_v5.1	1807487	1812015	-	4529	833	578	255	1084
Tb927.11.6430	Tb927_11_v5.1	1813353	1817796	-	4444	1325	909	416	2147
Tb927.11.6440	Tb927_11_v5.1	1818005	1822962	-	4958	240	205	35	356
Tb927.11.6450	Tb927_11_v5.1	1822762	1825021	-	2260	1490	1066	424	2077
Tb927.11.6460	Tb927_11_v5.1	1825897	1828885	-	2989	1126	802	324	4217
Tb927.11.6470	Tb927_11_v5.1	1829009	1829826	-	818	521	432	89	1576
Tb927.11.6480	Tb927_11_v5.1	1829950	1832337	-	2388	676	507	169	2449
Tb927.11.6490	Tb927_11_v5.1	1832439	1833266	-	828	453	365	88	685
Tb927.11.6500	Tb927_11_v5.1	1833484	1834344	-	861	2	1	1	2
Tb927.11.6510	Tb927_11_v5.1	1834485	1835187	-	703	3	2	1	13
Tb927.11.6520	Tb927_11_v5.1	1835291	1836125	-	835	671	523	148	2282
Tb927.11.6530	Tb927_11_v5.1	1836934	1838254	-	1321	446	248	198	736
Tb927.11.6540	Tb927_11_v5.1	1838654	1840328	-	1675	1695	1181	514	4287
Tb927.11.6550	Tb927_11_v5.1	1841404	1843897	-	2494	1205	1082	123	4283
Tb927.11.6560	Tb927_11_v5.1	1844074	1845707	-	1634	454	347	107	1365
Tb927.11.6565	Tb927_11_v5.1	1845873	1846370	-	498	821	440	381	1429
Tb11.NT.84	Tb927_11_v5.1	1846485	1846710	-	226	719	502	217	2105
Tb927.11.6570	Tb927_11_v5.1	1847068	1849671	-	2604	1600	1329	271	4426
Tb927.11.6580	Tb927_11_v5.1	1849785	1852153	-	2369	83	43	40	109
Tb927.11.6590	Tb927_11_v5.1	1852358	1855046	-	2689	860	661	199	1647
Tb927.11.6600	Tb927_11_v5.1	1859694	1866581	-	6888	3643	2369	1274	5593
Tb927.11.6610	Tb927_11_v5.1	1866698	1867861	-	1164	581	426	155	827
Tb927.11.6620	Tb927_11_v5.1	1867980	1869443	-	1464	426	341	85	648
Tb927.11.6630	Tb927_11_v5.1	1869603	1872274	-	2672	735	509	226	2835
Tb927.11.6640	Tb927_11_v5.1	1872384	1873468	-	1085	482	374	108	1334
Tb927.11.6650	Tb927_11_v5.1	1873591	1879381	-	5791	1691	1432	259	3016
Tb927.11.6660	Tb927_11_v5.1	1880004	1883022	-	3019	920	535	385	1145
Tb927.11.6670	Tb927_11_v5.1	1883111	1885544	-	2434	1554	1066	488	2617
Tb927.11.6680	Tb927_11_v5.1	1885709	1888289	-	2581	886	723	163	2030
Tb927.11.6690	Tb927_11_v5.1	1889244	1890482	-	1239	284	191	93	1403
Tb927.11.6700	Tb927_11_v5.1	1890636	1892394	-	1759	395	237	158	841
Tb927.11.6710	Tb927_11_v5.1	1892522	1893773	-	1252	198	176	22	288
Tb927.11.6720	Tb927_11_v5.1	1894008	1897334	-	3327	819	658	161	3184
Tb927.11.6730	Tb927_11_v5.1	1898343	1898930	-	588	431	322	109	541
Tb927.11.tRNA_Gly_1	Tb927_11_v5.1	1898859	1898929	+	71	0	0	0	0
Tb927.11.6740	Tb927_11_v5.1	1903707	1905769	-	2063	1079	971	108	1972
Tb927.11.6750	Tb927_11_v5.1	1906307	1908157	-	1851	631	351	280	1385
Tb927.11.6760	Tb927_11_v5.1	1908271	1910623	-	2353	532	368	164	1071
Tb927.11.6770	Tb927_11_v5.1	1910907	1913175	-	2269	1123	828	295	4885
Tb927.11.6780	Tb927_11_v5.1	1913325	1915110	-	1786	645	402	243	2944
Tb927.11.6790	Tb927_11_v5.1	1915589	1917943	-	2355	350	305	45	799
Tb927.11.6800	Tb927_11_v5.1	1918065	1919517	-	1453	24	20	4	25
Tb927.11.6810	Tb927_11_v5.1	1920877	1923832	-	2956	683	532	151	1298
Tb927.11.6820	Tb927_11_v5.1	1923956	1925794	-	1839	126	115	11	461
Tb927.11.6830	Tb927_11_v5.1	1925930	1929286	-	3357	546	492	54	1897
Tb927.11.6840	Tb927_11_v5.1	1929909	1931558	-	1650	799	545	254	2457
Tb927.11.6850	Tb927_11_v5.1	1931749	1932873	-	1125	1066	609	457	1722
Tb927.11.6860	Tb927_11_v5.1	1932710	1935712	-	3003	198	158	40	421
Tb927.11.6870	Tb927_11_v5.1	1934227	1936899	-	2673	37	26	11	251
Tb927.11.6890	Tb927_11_v5.1	1938652	1942238	-	3587	1447	1185	262	9810
Tb927.11.6900	Tb927_11_v5.1	1942960	1946968	-	4009	2837	1996	841	5425
Tb927.11.6910	Tb927_11_v5.1	1947384	1950664	-	3281	785	594	191	1980
Tb927.11.6920	Tb927_11_v5.1	1951187	1956229	-	5043	481	362	119	1571
Tb927.11.6930	Tb927_11_v5.1	1956360	1957201	-	842	94	87	7	169
Tb927.11.6940	Tb927_11_v5.1	1957689	1958870	-	1182	137	82	55	801
Tb927.11.6950	Tb927_11_v5.1	1959042	1959701	-	660	64	36	28	69
Tb927.11.6960	Tb927_11_v5.1	1959751	1961521	-	1771	108	66	42	112
Tb927.11.6970	Tb927_11_v5.1;Tb927_11_v5.1	1961993;1961993	1963100;1963206	-;-	1214	745	636	109	1333
Tb927.11.6980	Tb927_11_v5.1	1963860	1965836	-	1977	600	434	166	2114
Tb927.11.6990	Tb927_11_v5.1	1966104	1969780	-	3677	1886	1107	779	3102
Tb927.11.7000	Tb927_11_v5.1	1972417	1973032	-	616	72	51	21	154
Tb927.11.7010	Tb927_11_v5.1	1973618	1976512	-	2895	1035	805	230	1649
Tb927.11.7020	Tb927_11_v5.1	1977488	1978443	-	956	157	141	16	238
Tb927.11.7030	Tb927_11_v5.1	1978549	1980055	-	1507	1114	710	404	2149
Tb927.11.7040	Tb927_11_v5.1	1980307	1980736	-	430	669	490	179	963
Tb927.11.7045	Tb927_11_v5.1	1981051	1981459	-	409	448	293	155	749
Tb927.11.7050	Tb927_11_v5.1	1981602	1982796	-	1195	566	407	159	2661
Tb927.11.7060	Tb927_11_v5.1	1982996	1984790	-	1795	826	612	214	2757
Tb927.11.7070	Tb927_11_v5.1	1984888	1987854	-	2967	1450	896	554	4377
Tb927.11.7080	Tb927_11_v5.1	1988134	1989624	-	1491	1054	849	205	1817
Tb927.11.7090	Tb927_11_v5.1	1989722	1990224	-	503	8	0	8	8
Tb927.11.7100	Tb927_11_v5.1	1990938	1991755	-	818	338	175	163	1251
Tb927.11.7110	Tb927_11_v5.1	1991855	1993679	-	1825	1328	1048	280	3722
Tb927.11.7120	Tb927_11_v5.1	1994427	1997478	-	3052	1167	904	263	1997
Tb927.11.7130	Tb927_11_v5.1	1997772	1999901	-	2130	679	570	109	1202
Tb927.11.7140	Tb927_11_v5.1	2000657	2001743	-	1087	367	323	44	556
Tb927.11.7150	Tb927_11_v5.1	2001879	2003018	-	1140	955	666	289	1439
Tb927.11.7160	Tb927_11_v5.1	2004513	2005725	-	1213	284	206	78	1058
Tb927.11.7170	Tb927_11_v5.1	2005880	2007821	-	1942	514	415	99	854
Tb927.11.7180	Tb927_11_v5.1	2007966	2010078	-	2113	1534	813	721	2916
Tb927.11.7190	Tb927_11_v5.1	2010224	2011012	-	789	437	359	78	787
Tb927.11.7200	Tb927_11_v5.1	2011139	2013079	-	1941	1314	1076	238	3253
Tb927.11.7210	Tb927_11_v5.1	2013214	2017168	-	3955	686	365	321	1167
Tb927.11.7211	Tb927_11_v5.1	2017365	2021265	-	3901	412	274	138	499
Tb927.11.7212	Tb927_11_v5.1	2021499	2022422	-	924	216	145	71	228
Tb927.11.7213	Tb927_11_v5.1	2022555	2023880	-	1326	460	378	82	868
Tb11.02.5090	Tb927_11_v5.1	2027797	2028567	+	771	18	16	2	57
Tb927.11.7214	Tb927_11_v5.1	2028726	2030411	+	1686	140	118	22	292
Tb11.02.5105	Tb927_11_v5.1	2030528	2030971	+	444	335	269	66	447
Tb927.11.7216	Tb927_11_v5.1	2031383	2032828	+	1446	16	15	1	75
Tb927.11.7218	Tb927_11_v5.1	2032932	2035792	+	2861	157	120	37	578
Tb927.11.7220	Tb927_11_v5.1	2036034	2045179	+	9146	2104	1393	711	3808
Tb927.11.7230	Tb927_11_v5.1	2045691	2046594	+	904	143	56	87	5808
Tb927.11.7240	Tb927_11_v5.1	2047806	2049337	+	1532	65	58	7	492
Tb927.11.7250	Tb927_11_v5.1	2049668	2051268	+	1601	645	561	84	953
Tb927.11.7260	Tb927_11_v5.1	2052614	2052875	+	262	10	3	7	10
Tb927.11.7270	Tb927_11_v5.1	2053230	2054265	+	1036	190	160	30	300
Tb927.11.7280	Tb927_11_v5.1	2054564	2054986	+	423	22	17	5	22
Tb927.11.7290	Tb927_11_v5.1	2055744	2060272	+	4529	1073	828	245	1715
Tb927.11.7300	Tb927_11_v5.1	2061635	2063352	+	1718	409	304	105	1931
Tb927.11.7310	Tb927_11_v5.1	2064254	2065196	+	943	558	365	193	1498
Tb927.11.7320	Tb927_11_v5.1	2065330	2067440	+	2111	449	375	74	1059
Tb927.11.7330	Tb927_11_v5.1	2067598	2068435	+	838	21	12	9	21
Tb927.11.7340	Tb927_11_v5.1	2068829	2071339	+	2511	1630	979	651	2970
Tb927.11.7350	Tb927_11_v5.1	2071463	2072408	+	946	32	24	8	33
Tb927.11.7360	Tb927_11_v5.1	2073064	2073984	+	921	373	313	60	976
Tb927.11.7370	Tb927_11_v5.1	2074602	2075843	+	1242	1127	483	644	2997
Tb927.11.7380	Tb927_11_v5.1	2077790	2081059	+	3270	350	319	31	1491
Tb927.11.7390	Tb927_11_v5.1	2081516	2083281	+	1766	439	321	118	488
Tb927.11.7400	Tb927_11_v5.1	2083435	2086713	+	3279	514	417	97	1549
Tb927.11.7410	Tb927_11_v5.1	2087773	2089828	+	2056	624	519	105	2530
Tb927.11.7420	Tb927_11_v5.1	2090733	2091991	+	1259	694	567	127	979
Tb927.11.7430	Tb927_11_v5.1	2092127	2092688	+	562	325	260	65	742
Tb927.11.7440	Tb927_11_v5.1	2092904	2093490	+	587	192	143	49	3065
Tb927.11.7450	Tb927_11_v5.1	2093827	2096147	+	2321	418	306	112	559
Tb11.02.5360	Tb927_11_v5.1	2096313	2097920	+	1608	480	330	150	632
Tb11.02.5370	Tb927_11_v5.1	2097609	2099407	+	1799	315	262	53	1365
Tb11.02.5380	Tb927_11_v5.1	2099504	2102422	+	2919	295	234	61	750
Tb11.02.5390	Tb927_11_v5.1	2102759	2106050	+	3292	463	350	113	950
Tb11.02.5400	Tb927_11_v5.1	2106628	2107839	+	1212	416	235	181	554
Tb11.NT.94	Tb927_11_v5.1	2108645	2108854	+	210	15	14	1	100
Tb11.02.5410	Tb927_11_v5.1	2109004	2109898	+	895	13	10	3	54
Tb11.02.5420	Tb927_11_v5.1	2110579	2112772	-	2194	580	368	212	1193
Tb11.02.5430	Tb927_11_v5.1	2114083	2115378	-	1296	632	417	215	1212
Tb11.02.5440	Tb927_11_v5.1	2115792	2117437	-	1646	792	535	257	1128
Tb927.11.7460	Tb927_11_v5.1	2117594	2119854	-	2261	370	313	57	1509
Tb927.11.7470	Tb927_11_v5.1	2120125	2120948	-	824	229	201	28	1320
Tb927.11.7475	Tb927_11_v5.1	2121058	2121515	-	458	368	298	70	714
Tb927.11.7480	Tb927_11_v5.1;Tb927_11_v5.1	2121871;2121871	2122470;2122629	-;-	759	59	43	16	65
Tb11.NT.96	Tb927_11_v5.1	2122623	2123153	-	531	84	73	11	92
Tb927.11.7490	Tb927_11_v5.1	2123289	2124033	-	745	468	341	127	1101
Tb11.NT.97	Tb927_11_v5.1	2124146	2124339	-	194	74	53	21	82
Tb927.11.7500	Tb927_11_v5.1	2124475	2125219	-	745	328	256	72	392
Tb927.11.7510	Tb927_11_v5.1	2125462	2128144	-	2683	439	363	76	1662
Tb927.11.7520	Tb927_11_v5.1	2128967	2130203	-	1237	343	273	70	2015
Tb927.11.7530	Tb927_11_v5.1	2130769	2133604	-	2836	747	666	81	1524
Tb927.11.7540	Tb927_11_v5.1	2134643	2135806	-	1164	286	245	41	1417
Tb927.11.7550	Tb927_11_v5.1	2136096	2137199	-	1104	634	573	61	2856
Tb927.11.7560	Tb927_11_v5.1	2137743	2140729	-	2987	909	734	175	1272
Tb927.11.7570	Tb927_11_v5.1	2142734	2145119	-	2386	1250	826	424	3343
Tb927.11.7580	Tb927_11_v5.1	2145922	2148285	-	2364	548	309	239	791
Tb927.11.7590	Tb927_11_v5.1	2148460	2151769	-	3310	853	749	104	3028
Tb927.11.7600	Tb927_11_v5.1	2151923	2154117	-	2195	117	75	42	437
Tb927.11.7610	Tb927_11_v5.1	2154756	2155932	-	1177	1458	978	480	2896
Tb927.11.7620	Tb927_11_v5.1	2156502	2159741	-	3240	1065	837	228	3320
Tb927.11.7630	Tb927_11_v5.1	2160069	2163799	-	3731	509	398	111	1159
Tb927.11.7640	Tb927_11_v5.1	2164825	2167525	-	2701	421	309	112	540
Tb927.11.7650	Tb927_11_v5.1	2167840	2169608	-	1769	322	256	66	590
Tb927.11.7660	Tb927_11_v5.1	2170155	2171886	-	1732	327	191	136	708
Tb927.11.7670	Tb927_11_v5.1	2172067	2173813	-	1747	159	114	45	244
Tb927.11.7675	Tb927_11_v5.1	2174089	2174456	-	368	8	2	6	8
Tb927.11.7680	Tb927_11_v5.1	2174807	2176617	-	1811	1136	865	271	1873
Tb927.11.7685	Tb927_11_v5.1	2176682	2177298	-	617	5	1	4	5
Tb927.11.7690	Tb927_11_v5.1	2177554	2180476	-	2923	673	506	167	1119
Tb927.11.7695	Tb927_11_v5.1	2181245	2182170	-	926	190	174	16	289
Tb927.11.7700	Tb927_11_v5.1	2182549	2183988	-	1440	153	104	49	622
Tb927.11.7702	Tb927_11_v5.1	2184542	2185105	-	564	9	6	3	10
Tb927.11.7705	Tb927_11_v5.1	2185275	2185927	-	653	4	2	2	18
Tb927.11.7707	Tb927_11_v5.1	2186473	2187007	-	535	16	4	12	16
Tb927.11.7710	Tb927_11_v5.1	2188019	2189772	-	1754	396	311	85	495
Tb927.11.7720	Tb927_11_v5.1	2190755	2192575	-	1821	531	316	215	625
Tb927.11.7740	Tb927_11_v5.1	2193241	2193745	-	505	193	172	21	257
Tb927.11.7750	Tb927_11_v5.1	2194738	2196482	-	1745	2356	1945	411	8392
Tb927.11.7760	Tb927_11_v5.1	2197311	2199392	-	2082	222	157	65	683
Tb927.11.7770	Tb927_11_v5.1	2200716	2203331	-	2616	930	708	222	2877
Tb927.11.7780	Tb927_11_v5.1	2203448	2205418	-	1971	589	342	247	1712
Tb927.11.7790	Tb927_11_v5.1	2205552	2206680	-	1129	115	70	45	142
Tb927.11.7800	Tb927_11_v5.1	2206985	2208917	-	1933	646	489	157	5892
Tb927.11.7810	Tb927_11_v5.1	2209804	2211235	-	1432	105	86	19	124
Tb927.11.7820	Tb927_11_v5.1	2211824	2217767	-	5944	2325	1581	744	6557
Tb927.11.7830	Tb927_11_v5.1	2218356	2219329	-	974	1548	766	782	4547
Tb927.11.7840	Tb927_11_v5.1	2220207	2223050	-	2844	282	212	70	1130
Tb927.11.7850	Tb927_11_v5.1	2223758	2224586	-	829	628	337	291	769
Tb927.11.7860	Tb927_11_v5.1	2224770	2228948	-	4179	2028	1461	567	3150
Tb927.11.7870	Tb927_11_v5.1	2229236	2231329	-	2094	914	769	145	2449
Tb927.11.7880	Tb927_11_v5.1	2231534	2232434	-	901	384	333	51	639
Tb927.11.7890	Tb927_11_v5.1	2232661	2234702	-	2042	1016	831	185	2469
Tb927.11.7900	Tb927_11_v5.1	2234814	2235981	-	1168	807	437	370	1112
Tb927.11.7910	Tb927_11_v5.1	2236116	2236751	-	636	179	110	69	229
Tb927.11.7920	Tb927_11_v5.1	2236781	2238171	-	1391	815	726	89	1264
Tb927.11.7930	Tb927_11_v5.1	2238419	2238872	-	454	45	44	1	612
Tb927.11.7940	Tb927_11_v5.1	2239089	2239584	-	496	91	59	32	97
Tb927.11.7950	Tb927_11_v5.1	2240686	2242550	-	1865	459	278	181	615
Tb927.11.7960	Tb927_11_v5.1	2242754	2244401	-	1648	935	728	207	2386
Tb927.11.7970	Tb927_11_v5.1	2244598	2245624	-	1027	741	545	196	1567
Tb927.11.7980	Tb927_11_v5.1	2247400	2247932	+	533	68	32	36	111
Tb927.11.7990	Tb927_11_v5.1	2247996	2251256	+	3261	916	673	243	2071
Tb927.11.8000	Tb927_11_v5.1	2251912	2253551	+	1640	585	454	131	1890
Tb927.11.8010	Tb927_11_v5.1	2254011	2256307	+	2297	689	595	94	1381
Tb927.11.8020	Tb927_11_v5.1	2256566	2257188	+	623	401	257	144	528
Tb927.11.8030	Tb927_11_v5.1	2257324	2258793	+	1470	920	418	502	1703
Tb11.NT.99	Tb927_11_v5.1	2258899	2259520	+	622	168	75	93	223
Tb927.11.8040	Tb927_11_v5.1	2259626	2260228	+	603	109	75	34	326
Tb927.11.8050	Tb927_11_v5.1	2260391	2262305	+	1915	607	567	40	1792
Tb927.11.8060	Tb927_11_v5.1	2262437	2264187	+	1751	458	337	121	1605
Tb927.11.8070	Tb927_11_v5.1	2264780	2265478	+	699	682	504	178	1113
Tb927.11.8080	Tb927_11_v5.1	2265824	2266741	+	918	421	270	151	813
Tb927.11.8090	Tb927_11_v5.1	2267436	2271705	+	4270	2777	1705	1072	7685
Tb927.11.8100	Tb927_11_v5.1	2271855	2272613	+	759	423	278	145	553
Tb927.11.8110	Tb927_11_v5.1	2272733	2273982	+	1250	337	223	114	524
Tb927.11.8120	Tb927_11_v5.1	2274125	2275487	+	1363	670	577	93	1747
Tb927.11.8130	Tb927_11_v5.1	2275607	2275843	+	237	388	209	179	725
Tb927.11.8140	Tb927_11_v5.1	2276741	2277562	+	822	467	427	40	1444
Tb927.11.8150	Tb927_11_v5.1	2278630	2282696	+	4067	1737	869	868	4042
Tb927.11.8160	Tb927_11_v5.1	2283367	2296365	+	12999	363	329	34	3441
Tb927.11.8165	Tb927_11_v5.1	2296487	2296996	+	510	891	408	483	2151
Tb927.11.8170	Tb927_11_v5.1	2297160	2299574	+	2415	533	388	145	1629
Tb927.11.8180	Tb927_11_v5.1	2300728	2302419	+	1692	953	671	282	1427
Tb927.11.8185	Tb927_11_v5.1	2302573	2302877	+	305	185	87	98	308
Tb927.11.8190	Tb927_11_v5.1	2303520	2304816	+	1297	847	596	251	1446
Tb927.11.8200	Tb927_11_v5.1	2305845	2306487	+	643	8	0	8	8
Tb927.11.8210	Tb927_11_v5.1	2306739	2312119	+	5381	2061	1315	746	2570
Tb927.11.8220	Tb927_11_v5.1	2312292	2313245	+	954	370	320	50	681
Tb927.11.8230	Tb927_11_v5.1	2314346	2315755	+	1410	377	301	76	518
Tb927.11.8240	Tb927_11_v5.1	2315929	2318573	+	2645	1144	928	216	1801
Tb927.11.8250	Tb927_11_v5.1	2320024	2320657	+	634	259	246	13	711
Tb927.11.8260	Tb927_11_v5.1	2320960	2322653	+	1694	908	705	203	2070
Tb927.11.8270	Tb927_11_v5.1	2322699	2325047	+	2349	1298	1001	297	4000
Tb927.11.8280	Tb927_11_v5.1	2325516	2327120	+	1605	1003	556	447	3970
Tb927.11.8290	Tb927_11_v5.1	2327233	2330030	+	2798	1230	1003	227	5500
Tb927.11.8300	Tb927_11_v5.1	2330498	2333251	+	2754	1424	957	467	2375
Tb927.11.8310	Tb927_11_v5.1	2333489	2336271	+	2783	715	545	170	1044
Tb927.11.8320	Tb927_11_v5.1	2336385	2338858	+	2474	953	643	310	1941
Tb927.11.8330	Tb927_11_v5.1	2338922	2340253	+	1332	455	359	96	2536
Tb927.11.8340	Tb927_11_v5.1	2340578	2342761	+	2184	109	96	13	127
Tb927.11.8350	Tb927_11_v5.1	2342909	2344588	+	1680	812	572	240	1104
Tb927.11.8360	Tb927_11_v5.1	2344703	2345247	+	545	116	80	36	235
Tb927.11.8370	Tb927_11_v5.1	2345368	2348700	+	3333	1519	977	542	4736
Tb927.11.8380	Tb927_11_v5.1	2348839	2350740	+	1902	384	256	128	1038
Tb927.11.8390	Tb927_11_v5.1	2351765	2353288	+	1524	366	282	84	1411
Tb927.11.8400	Tb927_11_v5.1	2353962	2355903	+	1942	272	195	77	436
Tb927.11.8410	Tb927_11_v5.1	2356080	2358959	+	2880	699	535	164	1736
Tb927.11.8420	Tb927_11_v5.1	2359184	2359742	+	559	94	85	9	175
Tb927.11.8430	Tb927_11_v5.1	2360369	2362961	+	2593	1318	1022	296	2765
Tb927.11.8440	Tb927_11_v5.1;Tb927_11_v5.1	2362510;2363097	2364156;2364156	+;+	1647	134	101	33	474
Tb927.11.8450	Tb927_11_v5.1	2365755	2368066	+	2312	763	608	155	1296
Tb927.11.8460	Tb927_11_v5.1	2368181	2369898	+	1718	597	334	263	1304
Tb927.11.8470	Tb927_11_v5.1	2370228	2376487	+	6260	840	651	189	3731
Tb927.11.8480	Tb927_11_v5.1	2377304	2379582	+	2279	1308	969	339	1643
Tb927.11.8490	Tb927_11_v5.1	2379825	2381657	+	1833	858	525	333	991
Tb927.11.8500	Tb927_11_v5.1	2382346	2384624	+	2279	1070	762	308	1398
Tb927.11.8510	Tb927_11_v5.1	2384867	2386693	+	1827	1164	856	308	1851
Tb927.11.8520	Tb927_11_v5.1	2387380	2389780	+	2401	1063	756	307	1264
Tb927.11.8530	Tb927_11_v5.1	2389898	2391727	+	1830	523	373	150	666
Tb927.11.8580	Tb927_11_v5.1	2392316	2394594	+	2279	795	511	284	926
Tb927.11.8680	Tb927_11_v5.1	2394837	2396666	+	1830	473	279	194	596
Tb927.11.8700	Tb927_11_v5.1	2397059	2399010	+	1952	747	418	329	1771
Tb927.11.8710	Tb927_11_v5.1	2399304	2400768	+	1465	950	652	298	1721
Tb927.11.8720	Tb927_11_v5.1	2401243	2402870	+	1628	492	366	126	856
Tb927.11.8730	Tb927_11_v5.1	2404171	2406299	+	2129	413	278	135	862
Tb927.11.8740	Tb927_11_v5.1	2406491	2407192	+	702	222	168	54	405
Tb927.11.8750	Tb927_11_v5.1	2407352	2407789	+	438	176	147	29	268
Tb927.11.8760	Tb927_11_v5.1	2408293	2410204	+	1912	643	320	323	1741
Tb927.11.8770	Tb927_11_v5.1	2410468	2411778	+	1311	304	281	23	537
