# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003742.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003742.1.all.q/CM03_E_G1_S4/counts.txt" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam
Tb927.10.12140	Tb927_10_v5.1	2959213	2961792	+	2580	1394	1131	263	4357
Tb927.10.12150	Tb927_10_v5.1	2962184	2963555	+	1372	1179	976	203	3044
Tb927.10.12160	Tb927_10_v5.1	2963744	2964965	+	1222	332	282	50	2996
Tb927.10.12170	Tb927_10_v5.1	2965288	2966502	+	1215	1046	817	229	1838
Tb927.10.12180	Tb927_10_v5.1	2966617	2969315	+	2699	1508	1066	442	3375
Tb927.10.12190	Tb927_10_v5.1	2969428	2970127	+	700	364	263	101	748
Tb927.10.12200	Tb927_10_v5.1	2970906	2971937	+	1032	1207	794	413	5567
Tb927.10.12210	Tb927_10_v5.1	2971933	2972955	+	1023	2949	1432	1517	5032
Tb927.10.12220	Tb927_10_v5.1	2973076	2974221	+	1146	452	383	69	5204
Tb927.10.12230	Tb927_10_v5.1	2974438	2975999	+	1562	730	627	103	2895
Tb927.10.12240	Tb927_10_v5.1	2976178	2977519	+	1342	28	19	9	124
Tb927.10.12250	Tb927_10_v5.1	2977681	2980070	+	2390	585	473	112	1711
Tb927.10.12260	Tb927_10_v5.1	2980232	2982213	+	1982	1349	947	402	3286
Tb927.10.12270	Tb927_10_v5.1	2982321	2983646	+	1326	720	621	99	2431
Tb927.10.12280	Tb927_10_v5.1	2983885	2984650	+	766	585	463	122	2991
Tb927.10.12290	Tb927_10_v5.1	2984629	2986212	-	1584	449	397	52	3357
Tb927.10.12300	Tb927_10_v5.1	2986337	2987537	-	1201	1374	1077	297	2786
Tb927.10.12310	Tb927_10_v5.1	2987766	2990537	-	2772	2050	1438	612	4167
Tb927.10.12320	Tb927_10_v5.1	2990861	2992084	-	1224	692	554	138	1097
Tb927.10.12330	Tb927_10_v5.1	2992262	2993063	-	802	327	283	44	896
Tb927.10.12340	Tb927_10_v5.1	2993234	2996078	-	2845	842	600	242	3368
Tb927.10.12350	Tb927_10_v5.1	2996212	2997250	-	1039	174	156	18	306
Tb927.10.12360	Tb927_10_v5.1	2998695	2999357	-	663	698	607	91	1688
Tb927.10.12370	Tb927_10_v5.1	3000148	3002239	-	2092	1280	989	291	4141
Tb927.10.12380	Tb927_10_v5.1	3002421	3004825	-	2405	2476	1395	1081	5228
Tb927.10.12390	Tb927_10_v5.1	3004351	3005948	-	1598	255	225	30	311
Tb927.10.12400	Tb927_10_v5.1	3006836	3008755	-	1920	1255	1087	168	4051
Tb927.10.12410	Tb927_10_v5.1	3008905	3009826	-	922	265	255	10	1967
Tb927.10.12420	Tb927_10_v5.1	3009947	3010539	-	593	182	155	27	2000
Tb927.10.12430	Tb927_10_v5.1	3010894	3013033	-	2140	670	545	125	1167
Tb927.10.12440	Tb927_10_v5.1	3013225	3015986	-	2762	196	177	19	434
Tb927.10.12450	Tb927_10_v5.1	3016483	3017148	-	666	394	340	54	511
Tb927.10.12460	Tb927_10_v5.1	3017568	3018050	-	483	205	189	16	329
Tb927.10.12470	Tb927_10_v5.1	3018194	3020690	-	2497	692	655	37	3424
Tb927.10.12480	Tb927_10_v5.1	3022198	3023315	-	1118	1261	1018	243	3163
Tb927.10.12490	Tb927_10_v5.1	3023416	3027694	-	4279	1508	1153	355	2785
Tb927.10.12500	Tb927_10_v5.1	3029815	3033722	-	3908	576	486	90	2260
Tb927.10.12510	Tb927_10_v5.1	3034609	3037434	-	2826	804	644	160	2028
Tb927.10.12520	Tb927_10_v5.1	3037525	3040404	-	2880	682	411	271	1675
Tb927.10.12530	Tb927_10_v5.1	3040566	3041176	-	611	81	53	28	85
Tb927.10.12540	Tb927_10_v5.1	3041875	3043045	-	1171	391	277	114	450
Tb927.10.12550	Tb927_10_v5.1	3044989	3045895	-	907	597	544	53	13047
Tb927.10.12560	Tb927_10_v5.1	3048059	3048421	+	363	0	0	0	0
Tb927.10.12570	Tb927_10_v5.1	3049384	3049722	-	339	56	3	53	56
Tb927.10.12580	Tb927_10_v5.1	3049737	3051258	+	1522	155	135	20	200
Tb927.10.12590	Tb927_10_v5.1	3050379	3054182	-	3804	1182	1044	138	7666
Tb927.10.12600	Tb927_10_v5.1	3054275	3056254	-	1980	681	590	91	1185
Tb927.10.12610	Tb927_10_v5.1	3056653	3057280	-	628	267	205	62	995
Tb927.10.12620	Tb927_10_v5.1	3057476	3061269	-	3794	4304	3288	1016	17269
Tb927.10.12630	Tb927_10_v5.1	3061419	3062395	-	977	200	199	1	308
Tb927.10.12640	Tb927_10_v5.1	3062547	3065671	-	3125	2202	1746	456	4819
Tb927.10.12650	Tb927_10_v5.1	3072261	3072854	-	594	27	25	2	240
Tb927.10.12660	Tb927_10_v5.1	3073130	3076108	-	2979	330	312	18	1073
Tb927.10.12670	Tb927_10_v5.1	3076297	3080109	-	3813	436	381	55	892
Tb927.10.12680	Tb927_10_v5.1	3080272	3080906	-	635	236	225	11	642
Tb927.10.12690	Tb927_10_v5.1	3081226	3082315	-	1090	588	530	58	1290
Tb927.10.12700	Tb927_10_v5.1	3083138	3084858	-	1721	194	176	18	678
Tb927.10.12710	Tb927_10_v5.1	3085028	3088116	-	3089	330	276	54	1600
Tb927.10.12720	Tb927_10_v5.1	3088250	3091450	-	3201	1114	806	308	2366
Tb927.10.12730	Tb927_10_v5.1	3091598	3093650	-	2053	219	212	7	617
Tb927.10.12740	Tb927_10_v5.1	3092982	3095922	-	2941	671	523	148	2315
Tb927.10.12750	Tb927_10_v5.1	3095781	3097690	-	1910	359	337	22	936
Tb927.10.12760	Tb927_10_v5.1	3100161	3101266	-	1106	705	572	133	1395
Tb927.10.12780	Tb927_10_v5.1	3101484	3104940	-	3457	1154	755	399	2755
Tb927.10.12800	Tb927_10_v5.1	3105595	3109935	-	4341	746	647	99	3291
Tb927.10.12810	Tb927_10_v5.1	3110825	3112445	-	1621	1204	975	229	3854
Tb927.10.12820	Tb927_10_v5.1	3114222	3117289	-	3068	345	314	31	956
Tb927.10.12830	Tb927_10_v5.1;Tb927_10_v5.1	3117763;3117763	3118973;3118763	-;-	1211	1967	891	1076	4684
Tb927.10.12840	Tb927_10_v5.1	3118985	3121240	-	2256	1410	1047	363	2743
Tb927.10.12850	Tb927_10_v5.1	3121168	3123224	-	2057	300	268	32	821
Tb927.10.12860	Tb927_10_v5.1	3123370	3125480	-	2111	678	487	191	862
Tb927.10.12870	Tb927_10_v5.1	3125602	3129768	-	4167	731	408	323	1844
Tb927.10.12880	Tb927_10_v5.1	3130089	3131451	-	1363	926	458	468	1613
Tb927.10.12890	Tb927_10_v5.1	3132231	3134463	-	2233	905	754	151	3001
Tb927.10.12900	Tb927_10_v5.1	3135001	3135489	-	489	79	56	23	130
Tb927.10.12910	Tb927_10_v5.1;Tb927_10_v5.1	3135616;3135616	3138503;3138786	-;-	3171	1285	1071	214	4208
Tb927.10.12920	Tb927_10_v5.1	3139218	3142566	-	3349	1675	1211	464	3941
Tb927.10.12930	Tb927_10_v5.1	3143111	3143968	-	858	248	144	104	982
Tb927.10.12940	Tb927_10_v5.1	3145406	3146772	-	1367	1030	775	255	1947
Tb927.10.12950	Tb927_10_v5.1	3146931	3149879	-	2949	1139	758	381	1547
Tb927.10.12960	Tb927_10_v5.1	3150028	3151107	-	1080	305	250	55	657
Tb927.10.12970	Tb927_10_v5.1	3151245	3152505	-	1261	1877	1112	765	3410
Tb927.10.12980	Tb927_10_v5.1	3152650	3155251	-	2602	795	454	341	993
Tb927.10.12990	Tb927_10_v5.1	3155477	3156392	-	916	377	334	43	808
Tb927.10.13000	Tb927_10_v5.1	3156582	3158767	-	2186	2527	1725	802	5260
Tb927.10.13010	Tb927_10_v5.1	3160717	3161901	-	1185	455	371	84	662
Tb927.10.13020	Tb927_10_v5.1	3162115	3164869	-	2755	647	504	143	1460
Tb927.10.13030	Tb927_10_v5.1	3165002	3167359	-	2358	1364	1067	297	3488
Tb927.10.13040	Tb927_10_v5.1	3172064	3177271	+	5208	2517	1655	862	4561
Tb927.10.13060	Tb927_10_v5.1	3176365	3180080	-	3716	2205	1128	1077	4574
Tb927.10.13070	Tb927_10_v5.1	3181160	3184956	-	3797	2310	1754	556	4435
Tb927.10.13080	Tb927_10_v5.1	3184959	3185886	-	928	523	439	84	925
Tb927.10.13090	Tb927_10_v5.1	3186497	3188307	-	1811	1010	755	255	2516
Tb927.10.13100	Tb927_10_v5.1	3188413	3190795	-	2383	925	731	194	1400
Tb927.10.13110	Tb927_10_v5.1	3191381	3191948	-	568	1	0	1	1
Tb927.10.13120	Tb927_10_v5.1	3191822	3193858	-	2037	599	537	62	1466
Tb927.10.13130	Tb927_10_v5.1	3194030	3195933	-	1904	1785	1366	419	3611
Tb927.10.13140	Tb927_10_v5.1	3196190	3196982	-	793	38	29	9	57
Tb927.10.13150	Tb927_10_v5.1	3197403	3200019	-	2617	1477	1265	212	4769
Tb927.10.13160	Tb927_10_v5.1	3200304	3201948	-	1645	286	280	6	521
Tb927.10.13170	Tb927_10_v5.1	3203261	3204322	-	1062	305	153	152	633
Tb927.10.13180	Tb927_10_v5.1	3204646	3208384	-	3739	3346	2639	707	10938
Tb927.10.13190	Tb927_10_v5.1	3208873	3210138	-	1266	902	775	127	2822
Tb927.10.13200	Tb927_10_v5.1	3210289	3213116	-	2828	917	622	295	4441
Tb927.10.13210	Tb927_10_v5.1	3213469	3215335	-	1867	393	296	97	736
Tb927.10.13220	Tb927_10_v5.1	3215586	3218415	-	2830	3183	2159	1024	5242
Tb927.10.13230	Tb927_10_v5.1	3219514	3220901	-	1388	750	634	116	2947
Tb927.10.13240	Tb927_10_v5.1	3221453	3223362	-	1910	990	843	147	3608
Tb927.10.13250	Tb927_10_v5.1	3223486	3230364	-	6879	4983	3302	1681	13379
Tb927.10.13260	Tb927_10_v5.1	3230549	3234637	-	4089	1087	735	352	1946
Tb927.10.13270	Tb927_10_v5.1	3234925	3237852	-	2928	681	521	160	941
Tb927.10.13280	Tb927_10_v5.1	3238200	3246138	-	7939	6359	4817	1542	13057
Tb927.10.13290	Tb927_10_v5.1	3246300	3248011	-	1712	453	263	190	1835
Tb927.10.13300	Tb927_10_v5.1	3248231	3249399	-	1169	118	75	43	132
Tb927.10.13310	Tb927_10_v5.1	3249511	3250727	-	1217	184	108	76	422
Tb927.10.13320	Tb927_10_v5.1	3250999	3251689	-	691	260	225	35	983
Tb927.10.13330	Tb927_10_v5.1	3251814	3257033	-	5220	1947	1562	385	5799
Tb927.10.13335	Tb927_10_v5.1	3257252	3257725	-	474	406	262	144	519
Tb927.10.13350	Tb927_10_v5.1	3257826	3261821	-	3996	1793	1441	352	4444
Tb927.10.13360	Tb927_10_v5.1	3262927	3264780	-	1854	851	733	118	1112
Tb927.10.13370	Tb927_10_v5.1	3264901	3265790	-	890	38	37	1	423
Tb927.10.13380	Tb927_10_v5.1	3265905	3268199	-	2295	526	445	81	1544
Tb927_10_v4.snoRNA.0001:snoRNA	Tb927_10_v5.1	3268650	3268716	-	67	182	106	76	209
Tb927_10_v4.snoRNA.0060:snoRNA	Tb927_10_v5.1	3268770	3268865	-	96	136	122	14	169
Tb927_10_v4.snoRNA.0043:snoRNA	Tb927_10_v5.1	3268880	3268948	-	69	16	13	3	17
Tb927_10_v4.snoRNA.0015:snoRNA	Tb927_10_v5.1	3269036	3269115	-	80	38	31	7	47
Tb927_10_v4.snoRNA.0020:snoRNA	Tb927_10_v5.1	3269212	3269298	-	87	123	115	8	173
Tb10_snoRNA_0034:snoRNA	Tb927_10_v5.1	3269315	3269379	-	65	139	134	5	304
Tb927.10.13390	Tb927_10_v5.1	3269884	3272427	-	2544	2084	1529	555	3383
Tb927.10.13400	Tb927_10_v5.1	3272560	3274045	-	1486	1235	716	519	3827
Tb927_10_v4.snoRNA.0009:snoRNA	Tb927_10_v5.1	3274312	3274397	-	86	136	129	7	195
Tb927_10_v4.snoRNA.0002:snoRNA	Tb927_10_v5.1	3274558	3274624	-	67	82	35	47	84
Tb927_10_v4.snoRNA.0061:snoRNA	Tb927_10_v5.1	3274678	3274773	-	96	82	32	50	87
Tb927_10_v4.snoRNA.0041:snoRNA	Tb927_10_v5.1	3274788	3274856	-	69	52	23	29	53
Tb927_10_v4.snoRNA.0016:snoRNA	Tb927_10_v5.1	3274944	3275023	-	80	30	19	11	34
Tb927_10_v4.snoRNA.0021:snoRNA	Tb927_10_v5.1	3275120	3275206	-	87	19	12	7	20
Tb10_snoRNA_0041:snoRNA	Tb927_10_v5.1	3275223	3275291	-	69	35	34	1	56
Tb927_10_v4.snoRNA.0031:snoRNA	Tb927_10_v5.1	3275428	3275504	-	77	12	1	11	12
Tb927_10_v4.snoRNA.0040:snoRNA	Tb927_10_v5.1	3275540	3275617	-	78	33	11	22	36
Tb927.10.13410	Tb927_10_v5.1	3275687	3276073	-	387	218	210	8	1567
Tb927.10.13420	Tb927_10_v5.1	3276360	3277165	-	806	389	331	58	1207
Tb927.10.13430	Tb927_10_v5.1	3277054	3279258	-	2205	490	457	33	2025
Tb927.10.13440	Tb927_10_v5.1	3279217	3281654	-	2438	2770	1809	961	5698
Tb927.10.13450	Tb927_10_v5.1	3281746	3287271	-	5526	2516	1927	589	8300
Tb927.10.13470	Tb927_10_v5.1	3288206	3290909	-	2704	2978	1736	1242	5601
Tb927.10.13480	Tb927_10_v5.1	3291242	3292719	-	1478	459	415	44	1269
Tb927.10.13490	Tb927_10_v5.1	3292869	3295044	-	2176	981	890	91	7157
Tb927.10.13500	Tb927_10_v5.1	3295187	3296485	-	1299	220	208	12	470
Tb927.10.13510	Tb927_10_v5.1	3296746	3298688	-	1943	1428	799	629	2335
Tb927.10.13513	Tb927_10_v5.1	3298808	3299447	-	640	377	339	38	720
Tb927.10.13517	Tb927_10_v5.1	3299553	3300102	-	550	366	351	15	1393
Tb927.10.13520	Tb927_10_v5.1	3300538	3302639	-	2102	1055	790	265	2770
Tb927.10.13530	Tb927_10_v5.1	3302977	3303454	+	478	154	142	12	197
Tb927.10.13540	Tb927_10_v5.1	3304584	3305825	-	1242	883	601	282	1145
Tb927.10.13550	Tb927_10_v5.1	3305941	3310895	-	4955	2938	2096	842	6313
Tb927.10.13560	Tb927_10_v5.1	3316146	3317597	-	1452	1444	1229	215	2255
Tb927.10.13570	Tb927_10_v5.1	3317751	3318778	-	1028	539	440	99	1004
Tb927.10.13580	Tb927_10_v5.1	3318914	3320718	-	1805	1305	760	545	2336
Tb927.10.13590	Tb927_10_v5.1	3320987	3323854	-	2868	2888	2020	868	6970
Tb927.10.13600	Tb927_10_v5.1	3324053	3324766	-	714	429	268	161	1197
Tb927.10.13610	Tb927_10_v5.1	3324893	3327683	-	2791	2821	1520	1301	5331
Tb927.10.13620	Tb927_10_v5.1	3327821	3329825	-	2005	1666	1315	351	3026
Tb927.10.13630	Tb927_10_v5.1	3329739	3332858	-	3120	2427	1828	599	7040
Tb927.10.13640	Tb927_10_v5.1	3333289	3334669	-	1381	171	166	5	858
Tb927.10.13650	Tb927_10_v5.1	3335048	3335449	-	402	351	296	55	553
Tb927.10.13660	Tb927_10_v5.1	3335795	3338702	-	2908	1281	1086	195	4848
Tb927.10.13670	Tb927_10_v5.1	3340081	3341523	-	1443	533	386	147	720
Tb927.10.13680	Tb927_10_v5.1	3342317	3344408	-	2092	422	354	68	657
Tb927_10_v4.snoRNA.0003:snoRNA	Tb927_10_v5.1	3344890	3344956	-	67	181	119	62	562
Tb927_10_v4.snoRNA.0062:snoRNA	Tb927_10_v5.1	3345010	3345105	-	96	76	59	17	85
Tb927_10_v4.snoRNA.0044:snoRNA	Tb927_10_v5.1	3345120	3345188	-	69	20	13	7	23
Tb927_10_v4.snoRNA.0017:snoRNA	Tb927_10_v5.1	3345276	3345355	-	80	47	33	14	53
Tb927_10_v4.snoRNA.0019:snoRNA	Tb927_10_v5.1	3345452	3345538	-	87	28	21	7	29
Tb10_snoRNA_0049:snoRNA	Tb927_10_v5.1	3345555	3345619	-	65	114	104	10	255
Tb927.10.13690	Tb927_10_v5.1	3346124	3348667	-	2544	1661	1191	470	3525
Tb927.10.13700	Tb927_10_v5.1	3348781	3349732	-	952	371	271	100	922
Tb927.10.13710	Tb927_10_v5.1	3349879	3351259	-	1381	634	513	121	1125
Tb927.10.13720	Tb927_10_v5.1	3351806	3352972	-	1167	201	183	18	287
Tb10.NT.148	Tb927_10_v5.1	3353042	3353384	-	343	170	81	89	256
Tb927.10.13730	Tb927_10_v5.1	3353676	3355052	-	1377	208	194	14	685
Tb927.10.13740	Tb927_10_v5.1	3356065	3358179	-	2115	378	337	41	584
Tb927.10.13750	Tb927_10_v5.1	3358389	3359313	-	925	702	447	255	816
Tb927.10.13760	Tb927_10_v5.1	3359570	3360363	-	794	893	613	280	1483
Tb927.10.13770	Tb927_10_v5.1	3360530	3361557	-	1028	171	95	76	264
Tb927.10.13780	Tb927_10_v5.1	3361774	3366257	-	4484	1575	1189	386	3136
Tb927.10.13790	Tb927_10_v5.1	3367889	3369991	-	2103	1685	1528	157	6564
Tb927.10.13800	Tb927_10_v5.1	3370127	3374065	-	3939	1062	886	176	4867
Tb927.10.13810	Tb927_10_v5.1	3374384	3374787	-	404	785	611	174	1595
Tb927.10.13820	Tb927_10_v5.1	3375008	3376115	-	1108	899	547	352	1540
Tb927.10.13830	Tb927_10_v5.1	3376279	3378179	-	1901	1255	955	300	2530
Tb927.10.13840	Tb927_10_v5.1	3378565	3380403	-	1839	512	440	72	4589
Tb927.10.13850	Tb927_10_v5.1	3380834	3382087	-	1254	1634	998	636	4847
Tb927.10.13860	Tb927_10_v5.1	3382242	3383831	-	1590	443	269	174	1022
Tb927.10.13870	Tb927_10_v5.1	3383988	3385694	-	1707	1371	1253	118	10352
Tb927.10.13880	Tb927_10_v5.1	3385874	3389553	-	3680	2841	2107	734	11670
Tb927.10.13890	Tb927_10_v5.1	3389704	3392273	-	2570	1397	1189	208	3941
Tb927.10.13900	Tb927_10_v5.1	3392424	3393980	-	1557	668	491	177	836
Tb927.10.13910	Tb927_10_v5.1	3394078	3395180	-	1103	139	104	35	150
Tb927.10.13920	Tb927_10_v5.1	3395306	3396850	-	1545	278	248	30	433
Tb927.10.13930	Tb927_10_v5.1	3396972	3398195	-	1224	1096	824	272	2434
Tb927_10_v4.snoRNA.0010:snoRNA	Tb927_10_v5.1	3398462	3398547	-	86	197	171	26	239
Tb927_10_v4.snoRNA.0004:snoRNA	Tb927_10_v5.1	3398708	3398774	-	67	69	34	35	75
Tb927_10_v4.snoRNA.0063:snoRNA	Tb927_10_v5.1	3398828	3398923	-	96	105	89	16	583
Tb927_10_v4.snoRNA.0042:snoRNA	Tb927_10_v5.1	3398938	3399006	-	69	40	38	2	47
Tb927_10_v4.snoRNA.0018:snoRNA	Tb927_10_v5.1	3399094	3399173	-	80	4	2	2	5
Tb10_snoRNA_0055:snoRNA	Tb927_10_v5.1	3399270	3399335	-	66	3	3	0	3
Tb927.10.13950	Tb927_10_v5.1	3400291	3401080	-	790	447	349	98	720
Tb927.10.13960	Tb927_10_v5.1	3401176	3403296	-	2121	476	432	44	1802
Tb927.10.13970	Tb927_10_v5.1	3403540	3404486	-	947	363	345	18	2497
Tb927.10.13980	Tb927_10_v5.1	3404591	3405668	-	1078	372	305	67	790
Tb927.10.13990	Tb927_10_v5.1	3405784	3407070	-	1287	557	418	139	1134
Tb927.10.14000	Tb927_10_v5.1	3407645	3412427	-	4783	3272	2280	992	8843
Tb927.10.14010	Tb927_10_v5.1	3413812	3415774	-	1963	948	758	190	3152
Tb927.10.14020	Tb927_10_v5.1	3415897	3417433	-	1537	846	597	249	1269
Tb927.10.14030	Tb927_10_v5.1	3417539	3419014	-	1476	296	209	87	320
Tb927.10.14040	Tb927_10_v5.1	3419122	3420423	-	1302	129	125	4	268
Tb927.10.14050	Tb927_10_v5.1	3420704	3421096	-	393	159	110	49	180
Tb927.10.14060	Tb927_10_v5.1	3422592	3425123	-	2532	2365	1849	516	4886
Tb927.10.14070	Tb927_10_v5.1	3425494	3426691	-	1198	1314	1093	221	2175
Tb927.10.14080	Tb927_10_v5.1	3426845	3427872	-	1028	556	471	85	1059
Tb927.10.14090	Tb927_10_v5.1	3427982	3429869	-	1888	1015	665	350	2224
Tb927.10.14100	Tb927_10_v5.1	3430138	3431153	-	1016	576	425	151	695
Tb10.NT.154	Tb927_10_v5.1	3431265	3431462	-	198	120	114	6	202
Tb927.10.14110	Tb927_10_v5.1	3431533	3432024	-	492	307	184	123	370
Tb927.10.14120	Tb927_10_v5.1	3432241	3432705	-	465	220	196	24	421
Tb927.10.14130	Tb927_10_v5.1	3432891	3433351	-	461	136	64	72	452
Tb927.10.14140	Tb927_10_v5.1	3434594	3436257	-	1664	394	337	57	517
Tb927.10.14150	Tb927_10_v5.1	3437405	3439054	-	1650	291	269	22	1326
Tb927.10.14160	Tb927_10_v5.1	3440953	3441972	-	1020	279	237	42	358
Tb927.10.14170	Tb927_10_v5.1	3442097	3443768	-	1672	15	11	4	17
Tb927.10.14180	Tb927_10_v5.1	3443893	3445525	-	1633	143	139	4	1722
Tb927.10.14190	Tb927_10_v5.1	3445844	3447433	-	1590	1632	858	774	2000
Tb927.10.14200	Tb927_10_v5.1	3447552	3449160	-	1609	615	542	73	1672
Tb927.10.14210	Tb927_10_v5.1	3449263	3449919	-	657	101	101	0	1820
Tb927.10.14220	Tb927_10_v5.1	3450020	3451284	-	1265	531	407	124	971
Tb927.10.14230	Tb927_10_v5.1	3452065	3456583	-	4519	2759	2028	731	6732
Tb927.10.14240	Tb927_10_v5.1	3456725	3459191	-	2467	1506	1182	324	2743
Tb927.10.14250	Tb927_10_v5.1	3459324	3460641	-	1318	808	431	377	1128
Tb927.10.14260	Tb927_10_v5.1	3460757	3461790	-	1034	740	352	388	848
Tb927.10.14270	Tb927_10_v5.1	3463604	3469987	-	6384	1732	1416	316	5689
Tb927.10.14280	Tb927_10_v5.1	3470156	3471602	-	1447	2038	1104	934	3413
Tb927.10.14290	Tb927_10_v5.1	3472816	3473160	-	345	172	134	38	194
Tb927.10.14300	Tb927_10_v5.1	3473435	3477035	-	3601	2066	1585	481	5198
Tb927.10.14310	Tb927_10_v5.1	3477309	3478322	-	1014	1167	655	512	3544
Tb927_10_v5.snoRNA.0108	Tb927_10_v5.1	3478086	3478181	+	96	0	0	0	0
Tb927.10.14320	Tb927_10_v5.1	3479231	3483189	-	3959	1761	1330	431	4829
Tb927.10.14330	Tb927_10_v5.1	3483867	3487319	-	3453	1541	1390	151	4890
Tb927.10.14340	Tb927_10_v5.1	3487971	3491583	-	3613	637	517	120	1396
Tb927.10.14350	Tb927_10_v5.1	3491937	3492321	-	385	19	16	3	20
Tb927.10.14360	Tb927_10_v5.1	3492468	3493837	-	1370	1093	1004	89	2946
Tb927.10.14370	Tb927_10_v5.1	3494297	3494873	-	577	84	46	38	572
Tb927.10.14380	Tb927_10_v5.1	3494968	3498026	-	3059	2283	1142	1141	4842
Tb927.10.14390	Tb927_10_v5.1	3498972	3501515	-	2544	512	468	44	1396
Tb927.10.14400	Tb927_10_v5.1	3502401	3505939	-	3539	3149	2226	923	5407
Tb927.10.14410	Tb927_10_v5.1	3506347	3510227	-	3881	935	754	181	1780
Tb927.10.14420	Tb927_10_v5.1	3510342	3517826	-	7485	3556	2750	806	8892
Tb927.10.14430	Tb927_10_v5.1	3519581	3522699	-	3119	1645	1060	585	1979
Tb927.10.14440	Tb927_10_v5.1	3522844	3524095	-	1252	1088	811	277	2544
Tb927.10.14450	Tb927_10_v5.1	3524341	3526183	-	1843	657	478	179	805
Tb927.10.14460	Tb927_10_v5.1	3526368	3529913	-	3546	954	605	349	1498
Tb927.10.14470	Tb927_10_v5.1	3530031	3536173	-	6143	1722	1466	256	4305
Tb927.10.14480	Tb927_10_v5.1	3537162	3540902	-	3741	1533	1177	356	3874
Tb927.10.14490	Tb927_10_v5.1	3542653	3544036	-	1384	301	212	89	326
Tb927.10.14500	Tb927_10_v5.1	3544251	3546635	-	2385	1297	844	453	2343
Tb927.10.14510	Tb927_10_v5.1	3546770	3550264	-	3495	1368	1194	174	6720
Tb927.10.14520	Tb927_10_v5.1	3550533	3552548	-	2016	504	357	147	2424
Tb927.10.14530	Tb927_10_v5.1	3552736	3554261	-	1526	268	196	72	863
Tb927.10.14540	Tb927_10_v5.1	3560536	3564572	-	4037	665	555	110	1722
Tb927.10.14550	Tb927_10_v5.1	3565010	3566876	-	1867	418	366	52	1405
Tb927.10.14560	Tb927_10_v5.1	3566988	3570454	-	3467	911	644	267	2020
Tb927.10.14570	Tb927_10_v5.1	3570686	3572893	-	2208	1026	617	409	1496
Tb927.10.14580	Tb927_10_v5.1	3573087	3573692	-	606	52	5	47	52
Tb927.10.14590	Tb927_10_v5.1	3573852	3574980	-	1129	71	56	15	145
Tb927.10.14600	Tb927_10_v5.1	3575098	3576005	-	908	76	73	3	161
Tb927.10.14610	Tb927_10_v5.1	3576468	3580244	-	3777	4708	2193	2515	7957
Tb927.10.14620	Tb927_10_v5.1	3579955	3581953	-	1999	825	686	139	1964
Tb927.10.14630	Tb927_10_v5.1	3582443	3583290	-	848	891	600	291	1207
Tb927.10.14640	Tb927_10_v5.1	3583425	3584232	-	808	973	747	226	1479
Tb927.10.14650	Tb927_10_v5.1	3584388	3585064	-	677	895	149	746	1553
Tb927.10.14660	Tb927_10_v5.1	3585195	3586493	-	1299	941	572	369	1236
Tb927.10.14670	Tb927_10_v5.1	3586547	3587388	-	842	159	87	72	173
Tb927.10.14680	Tb927_10_v5.1	3588011	3588977	-	967	781	603	178	1241
Tb927.10.14690	Tb927_10_v5.1	3589288	3590291	-	1004	851	470	381	1397
Tb927.10.14700	Tb927_10_v5.1	3590492	3591832	-	1341	188	132	56	545
Tb927.10.14710	Tb927_10_v5.1	3591958	3592849	-	892	31	27	4	80
Tb927.10.14720	Tb927_10_v5.1	3592978	3594449	-	1472	278	259	19	819
Tb927.10.14730	Tb927_10_v5.1	3594939	3596289	-	1351	156	148	8	545
Tb927.10.14740	Tb927_10_v5.1	3596820	3597993	-	1174	920	718	202	1944
Tb927.10.14750	Tb927_10_v5.1	3598118	3599425	-	1308	928	785	143	1953
Tb927.10.14760	Tb927_10_v5.1	3599832	3600440	-	609	17	14	3	317
Tb927.10.14770	Tb927_10_v5.1	3601240	3603244	-	2005	732	594	138	1251
Tb927.10.14780	Tb927_10_v5.1	3603405	3605783	-	2379	1889	1620	269	4716
Tb927.10.14790	Tb927_10_v5.1	3605928	3607645	-	1718	2107	1612	495	3706
Tb927.10.14800	Tb927_10_v5.1	3609304	3610840	-	1537	329	264	65	419
Tb927.10.14810	Tb927_10_v5.1	3611256	3611791	-	536	259	236	23	1377
Tb927.10.14820	Tb927_10_v5.1	3612280	3613348	-	1069	900	614	286	1220
Tb927.10.14830	Tb927_10_v5.1	3613660	3614728	-	1069	887	646	241	1195
