# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003739.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/counts.txt" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam
Tb927.11.11290	Tb927_11_v5.1	3020867	3023187	+	2321	461	314	147	1201
Tb927.11.11300	Tb927_11_v5.1	3023311	3023900	+	590	0	0	0	0
Tb927.11.11310	Tb927_11_v5.1	3024159	3025715	+	1557	86	70	16	93
Tb927.11.11320	Tb927_11_v5.1	3027006	3028387	+	1382	404	352	52	952
Tb927.11.11330	Tb927_11_v5.1	3028628	3030666	+	2039	152	132	20	643
Tb927.11.11340	Tb927_11_v5.1	3030973	3034025	+	3053	926	856	70	2240
Tb927.11.11350	Tb927_11_v5.1	3033968	3035822	+	1855	548	349	199	729
Tb927.11.11360	Tb927_11_v5.1	3035963	3037128	+	1166	109	85	24	497
Tb927.11.11370	Tb927_11_v5.1	3037268	3038433	+	1166	121	115	6	373
Tb927.11.11380	Tb927_11_v5.1	3038602	3040295	+	1694	919	634	285	1892
Tb927.11.11385	Tb927_11_v5.1	3040696	3041187	+	492	331	316	15	1835
Tb927.11.11390	Tb927_11_v5.1	3041346	3042491	+	1146	423	363	60	1028
Tb927.11.11400	Tb927_11_v5.1	3042636	3046269	+	3634	1200	1006	194	9164
Tb927.11.11410	Tb927_11_v5.1	3048002	3051011	-	3010	2634	1982	652	6206
Tb927.11.11420	Tb927_11_v5.1	3051566	3057222	+	5657	1545	1119	426	4442
Tb927.11.11425	Tb927_11_v5.1	3057604	3057786	+	183	13	13	0	283
Tb927.11.11430	Tb927_11_v5.1	3058873	3063413	+	4541	1664	1393	271	3826
Tb927.11.11435	Tb927_11_v5.1	3063945	3065367	+	1423	2525	1622	903	7168
Tb927.11.11440	Tb927_11_v5.1	3064955	3067068	+	2114	273	252	21	872
Tb927.11.11450	Tb927_11_v5.1	3067212	3069297	+	2086	1203	900	303	2547
Tb927.11.11460	Tb927_11_v5.1	3069530	3071746	+	2217	566	391	175	4792
Tb927.11.11470	Tb927_11_v5.1	3072358	3073245	+	888	538	411	127	865
Tb927.11.11475	Tb927_11_v5.1	3073596	3074006	+	411	174	164	10	257
Tb927.11.11480	Tb927_11_v5.1	3074268	3077460	+	3193	1753	1238	515	2945
Tb927.11.11490	Tb927_11_v5.1;Tb927_11_v5.1	3078350;3079563	3081675;3081675	+;+	3326	1814	984	830	3891
Tb927.11.11500	Tb927_11_v5.1	3081948	3085076	+	3129	1193	886	307	2166
Tb927.11.11510	Tb927_11_v5.1	3085295	3086464	+	1170	284	212	72	353
Tb927.11.11520	Tb927_11_v5.1	3086704	3087834	+	1131	19	15	4	33
Tb927.11.11530	Tb927_11_v5.1	3088152	3091114	+	2963	2715	2080	635	5915
Tb927.11.11550	Tb927_11_v5.1	3091235	3095946	+	4712	2515	1694	821	3824
Tb927.11.11560	Tb927_11_v5.1	3096397	3102036	+	5640	3219	2223	996	4755
Tb927.11.11570	Tb927_11_v5.1	3102639	3105764	+	3126	1545	1330	215	4239
Tb927.11.11580	Tb927_11_v5.1	3105887	3108106	+	2220	2941	1897	1044	5728
Tb927.11.11590	Tb927_11_v5.1	3108256	3110408	+	2153	268	215	53	1227
Tb927.11.11600	Tb927_11_v5.1	3110556	3116660	+	6105	6392	5247	1145	13621
Tb927.11.11610	Tb927_11_v5.1	3117413	3119436	+	2024	835	582	253	2775
Tb927.11.11620	Tb927_11_v5.1	3119552	3121033	+	1482	741	636	105	3420
Tb927.11.11630	Tb927_11_v5.1	3121158	3121931	+	774	74	53	21	78
Tb927.11.11640	Tb927_11_v5.1	3122669	3125418	+	2750	980	679	301	2401
Tb927.11.11650	Tb927_11_v5.1	3125686	3128793	+	3108	1595	1075	520	3645
Tb927.11.11660	Tb927_11_v5.1	3129233	3130332	+	1100	344	288	56	422
Tb927.11.11670	Tb927_11_v5.1	3130485	3132423	+	1939	660	611	49	1989
Tb927.11.11680	Tb927_11_v5.1	3132527	3135365	+	2839	143	139	4	1724
Tb927.11.11690	Tb927_11_v5.1	3135788	3138260	+	2473	512	391	121	863
Tb927.11.11700	Tb927_11_v5.1	3138466	3140594	+	2129	1454	1215	239	3909
Tb927.11.11710	Tb927_11_v5.1	3141061	3142483	+	1423	410	257	153	666
Tb927.11.11720	Tb927_11_v5.1	3143017	3144892	+	1876	503	417	86	977
Tb927.11.11725	Tb927_11_v5.1	3145192	3145620	+	429	19	15	4	20
Tb927.11.11730	Tb927_11_v5.1	3145745	3146842	+	1098	1344	1004	340	2103
Tb927.11.11740	Tb927_11_v5.1	3147000	3149049	+	2050	959	592	367	2711
Tb927.11.11750	Tb927_11_v5.1	3150456	3153474	+	3019	1016	679	337	2037
Tb927.11.11760	Tb927_11_v5.1	3153596	3154769	+	1174	359	214	145	470
Tb927.11.11770	Tb927_11_v5.1	3155521	3158782	+	3262	362	327	35	863
Tb927.11.11780	Tb927_11_v5.1	3160001	3162259	+	2259	435	310	125	563
Tb927.11.11790	Tb927_11_v5.1	3163088	3164897	+	1810	931	846	85	2712
Tb927.11.11800	Tb927_11_v5.1	3165335	3168190	+	2856	934	789	145	2883
Tb927.11.11810	Tb927_11_v5.1	3168320	3171859	+	3540	747	672	75	1674
Tb927.11.11820	Tb927_11_v5.1	3172368	3172989	+	622	1	0	1	1
Tb927.11.11830	Tb927_11_v5.1	3173157	3173686	+	530	50	49	1	131
Tb927.11.11840	Tb927_11_v5.1	3173899	3174307	+	409	66	63	3	131
Tb927.11.11850	Tb927_11_v5.1	3174939	3178409	+	3471	1679	1374	305	2769
Tb927.11.11860	Tb927_11_v5.1	3179012	3181571	+	2560	424	276	148	1209
Tb927.11.11870	Tb927_11_v5.1	3181698	3182796	+	1099	436	353	83	1456
Tb927.11.11880	Tb927_11_v5.1	3183083	3187834	+	4752	1721	1530	191	6460
Tb927.11.11900	Tb927_11_v5.1	3187771	3191545	+	3775	1097	824	273	2782
Tb927.11.11910	Tb927_11_v5.1	3191712	3192807	+	1096	489	386	103	740
Tb927.11.11920	Tb927_11_v5.1	3192954	3195411	+	2458	975	885	90	3473
Tb927.11.11930	Tb927_11_v5.1;Tb927_11_v5.1	3195966;3196193	3196621;3196621	+;+	656	825	555	270	3717
Tb927.11.11940	Tb927_11_v5.1	3197089	3198274	+	1186	456	377	79	1026
Tb927.11.11950	Tb927_11_v5.1	3198697	3199995	+	1299	332	220	112	428
Tb927.11.11960	Tb927_11_v5.1	3200639	3202646	+	2008	1303	1052	251	1963
Tb927.11.11965	Tb927_11_v5.1	3205879	3206509	-	631	488	382	106	1854
Tb927.11.11970	Tb927_11_v5.1	3208176	3210714	+	2539	425	360	65	903
Tb927.11.11975	Tb927_11_v5.1	3210708	3211711	-	1004	539	431	108	1441
Tb927.11.11980	Tb927_11_v5.1	3215825	3216455	+	631	312	244	68	434
Tb927.11.11990	Tb927_11_v5.1	3218915	3220432	-	1518	670	508	162	4290
Tb927.11.12000	Tb927_11_v5.1	3220128	3221719	-	1592	182	108	74	374
Tb927.11.12010	Tb927_11_v5.1	3221874	3222371	-	498	188	178	10	339
Tb927.11.12020	Tb927_11_v5.1	3222631	3223502	+	872	332	266	66	385
Tb927.11.12030	Tb927_11_v5.1	3223649	3224942	+	1294	625	547	78	5169
Tb927.11.12040	Tb927_11_v5.1	3225046	3225475	+	430	210	168	42	356
Tb927.11.12045	Tb927_11_v5.1	3225684	3226062	+	379	163	121	42	206
Tb927.11.12050	Tb927_11_v5.1	3226175	3228045	+	1871	170	136	34	696
Tb927.11.12060	Tb927_11_v5.1	3228241	3229220	+	980	382	302	80	690
Tb927.11.12070	Tb927_11_v5.1	3229530	3230525	+	996	766	641	125	4522
Tb927.11.12080	Tb927_11_v5.1;Tb927_11_v5.1	3230659;3230735	3231494;3231494	+;+	836	39	38	1	239
Tb927.11.12090	Tb927_11_v5.1	3231639	3232431	+	793	134	99	35	154
Tb927.11.12100	Tb927_11_v5.1	3232652	3233796	+	1145	49	34	15	80
Tb927.11.12110	Tb927_11_v5.1	3234483	3238462	+	3980	696	563	133	1772
Tb927.11.12120	Tb927_11_v5.1	3238646	3241258	+	2613	218	198	20	458
Tb927.11.12130	Tb927_11_v5.1	3241108	3247558	+	6451	371	349	22	3105
Tb927.11.12140	Tb927_11_v5.1	3247157	3248527	+	1371	39	39	0	393
Tb11.NT.146	Tb927_11_v5.1	3248664	3248881	+	218	1	1	0	1
Tb927.11.12150	Tb927_11_v5.1	3248969	3251687	+	2719	16	14	2	177
Tb927.11.12160	Tb927_11_v5.1	3251845	3252509	+	665	153	142	11	218
Tb927.11.12170	Tb927_11_v5.1	3253359	3255415	+	2057	569	463	106	3012
Tb927.11.12180	Tb927_11_v5.1	3255689	3258642	+	2954	948	824	124	2623
Tb927.11.12190	Tb927_11_v5.1	3260963	3262744	+	1782	264	173	91	340
Tb927.11.12200	Tb927_11_v5.1	3263209	3264382	+	1174	490	358	132	1019
Tb927.11.12210	Tb927_11_v5.1	3264510	3266876	+	2367	207	180	27	2274
Tb927.11.12220	Tb927_11_v5.1	3267214	3269661	+	2448	630	428	202	1605
Tb927.11.12230	Tb927_11_v5.1	3270242	3272256	+	2015	792	617	175	6167
Tb927.11.12240	Tb927_11_v5.1	3272386	3275855	+	3470	1772	1238	534	2625
Tb927.11.12250	Tb927_11_v5.1	3276008	3278613	+	2606	2261	1707	554	4810
Tb927.11.12260	Tb927_11_v5.1	3278822	3280715	+	1894	851	722	129	1429
Tb927.11.12270	Tb927_11_v5.1	3281013	3282798	+	1786	384	338	46	665
Tb927.11.12280	Tb927_11_v5.1	3284188	3285886	+	1699	458	308	150	641
Tb927.11.12290	Tb927_11_v5.1	3286604	3288149	+	1546	60	46	14	149
Tb927.11.12300	Tb927_11_v5.1	3288555	3289283	+	729	64	54	10	70
Tb927.11.12310	Tb927_11_v5.1	3289401	3293197	+	3797	1192	775	417	2440
Tb927.11.12320	Tb927_11_v5.1;Tb927_11_v5.1	3293339;3293783	3296669;3296669	+;+	3331	1941	1635	306	5618
Tb927.11.12330	Tb927_11_v5.1	3296788	3297335	+	548	157	151	6	202
Tb927.11.12340	Tb927_11_v5.1	3297453	3298821	+	1369	1054	929	125	1677
Tb927.11.12350	Tb927_11_v5.1	3299019	3301946	+	2928	485	448	37	1060
Tb927.11.12360	Tb927_11_v5.1	3302062	3302726	+	665	219	204	15	534
Tb927.11.12365	Tb927_11_v5.1	3303083	3303596	+	514	668	568	100	3546
Tb927.11.12370	Tb927_11_v5.1	3303755	3304570	+	816	559	394	165	827
Tb927.11.12380	Tb927_11_v5.1	3304704	3306169	+	1466	771	467	304	868
Tb927.11.12390	Tb927_11_v5.1	3306293	3309823	+	3531	552	456	96	3778
Tb927.11.12400	Tb927_11_v5.1	3310184	3314427	+	4244	834	551	283	2115
Tb927.11.12410	Tb927_11_v5.1	3314560	3319393	+	4834	1675	1538	137	5656
Tb927.11.12420	Tb927_11_v5.1	3321985	3326841	+	4857	1342	1130	212	4819
Tb927.11.12430	Tb927_11_v5.1	3327002	3329495	+	2494	323	233	90	2032
Tb927.11.12440	Tb927_11_v5.1	3330762	3332438	+	1677	221	183	38	289
Tb927.11.12450	Tb927_11_v5.1;Tb927_11_v5.1	3332802;3333512	3335153;3335153	+;+	2352	577	482	95	889
Tb927.11.12460	Tb927_11_v5.1	3335412	3338688	+	3277	950	672	278	8722
Tb927.11.12470	Tb927_11_v5.1	3339072	3345949	+	6878	3807	2150	1657	828392
Tb927.11.12480	Tb927_11_v5.1	3346219	3349117	+	2899	822	603	219	2579
Tb927.11.12490	Tb927_11_v5.1	3349265	3351166	+	1902	497	273	224	3063
Tb927.11.12500	Tb927_11_v5.1	3352080	3353419	+	1340	497	408	89	2093
Tb927.11.12510	Tb927_11_v5.1	3353546	3357026	+	3481	1842	1533	309	3974
Tb927.11.12520	Tb927_11_v5.1	3357172	3358496	+	1325	520	439	81	754
Tb927.11.12530	Tb927_11_v5.1	3358692	3362311	+	3620	321	306	15	3523
Tb927.11.12540	Tb927_11_v5.1	3362455	3366952	+	4498	1613	1084	529	3190
Tb927.11.12560	Tb927_11_v5.1	3367068	3369647	+	2580	2862	2221	641	7048
Tb927.11.12570	Tb927_11_v5.1	3370950	3371988	+	1039	122	107	15	859
Tb927.11.12580	Tb927_11_v5.1	3372114	3374441	+	2328	627	478	149	1074
Tb927.11.12590	Tb927_11_v5.1	3374530	3375708	+	1179	86	59	27	93
Tb927.11.12600	Tb927_11_v5.1	3375806	3378510	+	2705	615	437	178	2699
Tb927.11.12610	Tb927_11_v5.1	3379208	3380431	+	1224	635	528	107	1012
Tb927.11.12620	Tb927_11_v5.1	3380575	3382983	+	2409	1024	880	144	2766
Tb927.11.12630	Tb927_11_v5.1	3384193	3386036	+	1844	1032	861	171	4325
Tb927.11.12640	Tb927_11_v5.1	3386212	3389345	+	3134	1210	997	213	3446
Tb927.11.12650	Tb927_11_v5.1	3389761	3392062	+	2302	573	421	152	1730
Tb927.11.12660	Tb927_11_v5.1	3392174	3395143	+	2970	1453	1101	352	2040
Tb927.11.12670	Tb927_11_v5.1	3395265	3396419	+	1155	1151	621	530	5209
Tb927.11.12680	Tb927_11_v5.1	3396564	3397305	+	742	129	93	36	399
Tb927.11.12690	Tb927_11_v5.1	3397561	3399186	+	1626	122	91	31	130
Tb927.11.12700	Tb927_11_v5.1	3399306	3399798	+	493	34	19	15	34
Tb927.11.12710	Tb927_11_v5.1	3399999	3405528	+	5530	1729	1471	258	4010
Tb927.11.12720	Tb927_11_v5.1	3405505	3408465	-	2961	137	109	28	233
Tb927.11.12730	Tb927_11_v5.1	3408725	3410126	-	1402	106	73	33	364
Tb927.11.12740	Tb927_11_v5.1;Tb927_11_v5.1	3411039;3411039	3412083;3412114	-;-	1076	587	516	71	1054
Tb927.11.12750	Tb927_11_v5.1	3412189	3413397	-	1209	85	69	16	99
Tb927.11.12760	Tb927_11_v5.1	3413708	3415441	-	1734	342	223	119	373
Tb927.11.12770	Tb927_11_v5.1	3415581	3421623	-	6043	790	624	166	1895
Tb927.11.12780	Tb927_11_v5.1	3421868	3423562	-	1695	1135	811	324	1866
Tb927.11.12790	Tb927_11_v5.1	3423681	3425378	-	1698	1338	998	340	2093
Tb927.11.12800	Tb927_11_v5.1	3425497	3427169	-	1673	1570	1024	546	3109
Tb927.11.12810	Tb927_11_v5.1	3427288	3428985	-	1698	1604	1163	441	2469
Tb927.11.12820	Tb927_11_v5.1	3429726	3430797	-	1072	1544	1035	509	2398
Tb927.11.12830	Tb927_11_v5.1	3430908	3434082	-	3175	997	759	238	2258
Tb927.11.12840	Tb927_11_v5.1	3434953	3446945	-	11993	7537	5361	2176	21625
Tb927.11.12850	Tb927_11_v5.1	3447813	3450273	-	2461	1420	733	687	2542
Tb927.11.12860	Tb927_11_v5.1;Tb927_11_v5.1	3450382;3450382	3451899;3451695	-;-	1518	286	206	80	316
Tb927.11.12870	Tb927_11_v5.1	3452366	3456047	-	3682	766	496	270	936
Tb927.11.12880	Tb927_11_v5.1	3456151	3460724	-	4574	1004	763	241	1753
Tb927.11.12910	Tb927_11_v5.1	3461139	3462013	-	875	106	95	11	279
Tb927.11.12920	Tb927_11_v5.1	3462666	3464230	-	1565	1021	847	174	1498
Tb927.11.12930	Tb927_11_v5.1	3464377	3466788	-	2412	749	593	156	942
Tb927.11.12940	Tb927_11_v5.1	3466953	3468568	-	1616	1149	898	251	2898
Tb927.11.12950	Tb927_11_v5.1	3468707	3469778	-	1072	107	72	35	850
Tb927.11.12960	Tb927_11_v5.1	3469947	3470595	-	649	249	210	39	302
Tb927.11.12970	Tb927_11_v5.1	3471171	3473191	-	2021	344	274	70	1730
Tb927.11.12980	Tb927_11_v5.1	3473334	3475632	-	2299	1633	1356	277	3444
Tb927.11.13000	Tb927_11_v5.1	3476590	3482285	-	5696	2646	2111	535	7461
Tb927.11.13003	Tb927_11_v5.1	3482393	3482891	-	499	88	84	4	138
Tb927.11.13007	Tb927_11_v5.1	3483084	3483582	-	499	2	0	2	2
Tb927.11.13010	Tb927_11_v5.1	3484182	3484851	-	670	174	134	40	1215
Tb927.11.13020	Tb927_11_v5.1	3484994	3485968	-	975	416	76	340	432
Tb927.11.13030	Tb927_11_v5.1	3486080	3486807	-	728	247	64	183	255
Tb927.11.13040	Tb927_11_v5.1	3486919	3487646	-	728	278	98	180	295
Tb927.11.13050	Tb927_11_v5.1	3487758	3488469	-	712	362	172	190	480
Tb927.11.13060	Tb927_11_v5.1	3488773	3492190	-	3418	1844	1599	245	6021
Tb927.11.13070	Tb927_11_v5.1	3492309	3494246	-	1938	1308	974	334	4337
Tb927.11.13080	Tb927_11_v5.1	3494849	3496521	-	1673	1441	1053	388	2602
Tb927.11.13090	Tb927_11_v5.1	3496619	3498411	-	1793	1816	1282	534	5314
Tb927.11.13100	Tb927_11_v5.1	3498983	3500505	-	1523	308	122	186	332
Tb927.11.13110	Tb927_11_v5.1	3502582	3504818	-	2237	253	222	31	555
Tb11.NT.158	Tb927_11_v5.1	3508421	3509000	-	580	376	326	50	505
Tb927.11.13120	Tb927_11_v5.1	3509092	3510037	-	946	150	83	67	163
Tb927.11.tRNA_His_1	Tb927_11_v5.1	3512888	3512971	+	84	81	70	11	333
Tb927.11.tRNA_Glu_1	Tb927_11_v5.1	3513020	3513142	+	123	3	0	3	3
Tb927.11.tRNA_Phe_1	Tb927_11_v5.1	3513149	3513313	+	165	110	92	18	253
Tb927.11.13125	Tb927_11_v5.1	3515191	3515797	-	607	276	203	73	587
Tb927.11.13130	Tb927_11_v5.1	3517588	3519421	-	1834	795	556	239	1647
Tb927.11.13140	Tb927_11_v5.1	3520730	3521247	-	518	275	210	65	558
Tb927.11.13150	Tb927_11_v5.1	3525442	3526194	-	753	194	165	29	644
Tb927.11.13160	Tb927_11_v5.1	3526845	3530469	+	3625	1253	1069	184	2680
Tb927.11.tRNA_Ala_1	Tb927_11_v5.1	3530689	3530709	-	21	0	0	0	0
Tb927.11.tRNA_Arg_1	Tb927_11_v5.1	3530689	3530847	-	159	36	33	3	38
Tb927.11.tRNA_Phe_2	Tb927_11_v5.1	3530959	3531123	+	165	111	84	27	220
Tb927.11.13170	Tb927_11_v5.1	3533312	3534684	-	1373	440	351	89	1059
Tb927.11.13180	Tb927_11_v5.1	3535006	3537882	-	2877	1687	1494	193	3172
Tb927.11.13190	Tb927_11_v5.1	3538078	3539549	-	1472	1734	1113	621	3989
Tb927.11.13200	Tb927_11_v5.1	3540933	3542646	-	1714	1415	1061	354	2950
Tb927.11.13210	Tb927_11_v5.1	3543263	3544358	-	1096	286	166	120	1329
Tb927.11.13220	Tb927_11_v5.1	3544953	3546950	-	1998	314	221	93	1721
Tb927.11.13230	Tb927_11_v5.1	3547908	3550128	-	2221	345	197	148	620
Tb927.11.13240	Tb927_11_v5.1	3550258	3551496	-	1239	264	216	48	340
Tb927.11.13250	Tb927_11_v5.1	3552262	3554520	-	2259	415	389	26	1375
Tb927.11.13260	Tb927_11_v5.1;Tb927_11_v5.1	3555557;3555557	3556533;3556694	-;-	1138	836	664	172	1073
Tb927.11.13270	Tb927_11_v5.1	3559914	3561349	-	1436	634	500	134	1538
Tb927.11.13280	Tb927_11_v5.1	3561969	3563039	-	1071	66	46	20	122
Tb927.11.13290	Tb927_11_v5.1	3563418	3564247	-	830	414	320	94	580
Tb927.11.13300	Tb927_11_v5.1	3564484	3565769	-	1286	864	785	79	5621
Tb927.11.13310	Tb927_11_v5.1	3565887	3567286	-	1400	391	278	113	865
Tb927.11.13320	Tb927_11_v5.1	3567473	3569904	-	2432	1338	1204	134	2878
Tb927.11.13330	Tb927_11_v5.1	3570042	3571793	-	1752	969	894	75	2503
Tb927.11.13340	Tb927_11_v5.1	3573349	3575973	-	2625	1648	1024	624	3302
Tb927.11.13350	Tb927_11_v5.1	3576080	3578930	-	2851	466	408	58	1068
Tb927.11.13360	Tb927_11_v5.1	3579657	3583734	-	4078	965	762	203	2072
Tb927.11.13370	Tb927_11_v5.1	3584049	3584901	-	853	135	116	19	696
Tb927.11.13380	Tb927_11_v5.1	3586136	3592473	-	6338	2113	1533	580	3402
Tb927.11.13390	Tb927_11_v5.1	3592575	3593470	-	896	39	36	3	833
Tb927.11.13400	Tb927_11_v5.1	3593712	3595756	-	2045	853	689	164	1949
Tb927.11.13410	Tb927_11_v5.1	3596225	3597324	-	1100	503	423	80	1169
Tb927.11.13420	Tb927_11_v5.1	3597467	3599343	-	1877	664	588	76	1723
Tb927.11.13440	Tb927_11_v5.1	3600095	3601139	-	1045	182	132	50	754
Tb927.11.13450	Tb927_11_v5.1	3601216	3602350	-	1135	8	6	2	9
Tb927.11.13460	Tb927_11_v5.1	3602537	3604930	-	2394	1470	1192	278	3078
Tb927.11.13470	Tb927_11_v5.1	3605398	3606115	-	718	117	113	4	1378
Tb927.11.13480	Tb927_11_v5.1	3606451	3607367	-	917	221	194	27	289
Tb927.11.13490	Tb927_11_v5.1	3607837	3609013	-	1177	193	147	46	262
Tb927.11.13500	Tb927_11_v5.1	3609530	3612496	-	2967	819	756	63	6580
Tb927.11.13510	Tb927_11_v5.1	3613384	3613973	-	590	27	27	0	49
Tb927.11.13520	Tb927_11_v5.1	3614545	3618318	-	3774	1947	1606	341	4731
Tb927.11.13530	Tb927_11_v5.1	3618669	3619441	-	773	307	239	68	511
Tb927.11.13540	Tb927_11_v5.1	3619640	3621168	-	1529	767	556	211	6676
Tb927.11.13550	Tb927_11_v5.1	3621746	3624285	-	2540	1301	1114	187	2407
Tb927.11.13560	Tb927_11_v5.1	3624480	3626303	-	1824	450	406	44	690
Tb927.11.13570	Tb927_11_v5.1	3626408	3627470	-	1063	158	127	31	186
Tb927.11.13580	Tb927_11_v5.1	3627889	3628672	-	784	606	589	17	2636
Tb927.11.13590	Tb927_11_v5.1	3628821	3629992	-	1172	371	299	72	2611
Tb927.11.13600	Tb927_11_v5.1	3630314	3631390	-	1077	222	203	19	264
Tb927.11.13610	Tb927_11_v5.1	3631811	3632328	-	518	218	172	46	288
Tb927.11.13620	Tb927_11_v5.1	3632441	3633256	-	816	166	133	33	187
Tb927.11.13630	Tb927_11_v5.1	3633478	3635362	-	1885	1066	859	207	1808
Tb927.11.13640	Tb927_11_v5.1	3635538	3638249	-	2712	403	268	135	1182
Tb927.11.13650	Tb927_11_v5.1	3638365	3639148	-	784	177	156	21	284
Tb927.11.13660	Tb927_11_v5.1	3639258	3639873	-	616	2	1	1	3
Tb927.11.13670	Tb927_11_v5.1	3640013	3645131	-	5119	1231	1055	176	2833
Tb927.11.13680	Tb927_11_v5.1	3645444	3646512	-	1069	1176	1032	144	2487
Tb927.11.13690	Tb927_11_v5.1;Tb927_11_v5.1	3646659;3646659	3647331;3648295	-;-	1637	933	781	152	4034
Tb927.11.13700	Tb927_11_v5.1	3647644	3650742	-	3099	1735	1038	697	2429
Tb927.11.13710	Tb927_11_v5.1	3650892	3651499	-	608	563	513	50	962
Tb927.11.13720	Tb927_11_v5.1	3653363	3655419	+	2057	104	67	37	127
Tb927.11.13730	Tb927_11_v5.1	3655866	3657154	+	1289	112	96	16	144
Tb927.11.13740	Tb927_11_v5.1	3660086	3664177	+	4092	460	426	34	666
Tb927.11.13750	Tb927_11_v5.1	3669496	3670391	+	896	2	0	2	2
Tb927.11.13760	Tb927_11_v5.1	3670382	3671203	+	822	2	0	2	2
Tb927.11.13770	Tb927_11_v5.1	3671384	3672882	+	1499	8	8	0	152
Tb927.11.13780	Tb927_11_v5.1	3672986	3673559	+	574	230	189	41	292
Tb927.11.13785	Tb927_11_v5.1	3673697	3674060	+	364	302	260	42	763
Tb927.11.13790	Tb927_11_v5.1	3674155	3674630	+	476	448	239	209	702
Tb927.11.13800	Tb927_11_v5.1	3675794	3676146	+	353	22	21	1	452
Tb927.11.13810	Tb927_11_v5.1	3676357	3678809	+	2453	826	598	228	1177
Tb927.11.13820	Tb927_11_v5.1	3678946	3680126	+	1181	471	380	91	772
Tb927.11.13830	Tb927_11_v5.1	3680329	3681367	+	1039	211	153	58	1543
Tb927.11.13840	Tb927_11_v5.1	3681524	3683667	+	2144	917	710	207	1357
Tb927.11.13850	Tb927_11_v5.1	3683852	3684982	+	1131	476	365	111	2036
Tb927.11.13860	Tb927_11_v5.1	3685169	3686048	+	880	265	217	48	337
Tb927.11.13870	Tb927_11_v5.1	3687023	3687621	+	599	926	757	169	3277
Tb927.11.13880	Tb927_11_v5.1	3688035	3689531	+	1497	1209	914	295	2437
Tb927.11.13890	Tb927_11_v5.1	3690567	3691513	+	947	582	460	122	997
Tb927.11.13900	Tb927_11_v5.1	3691634	3692285	+	652	614	468	146	975
Tb927.11.13910	Tb927_11_v5.1	3692401	3693393	+	993	484	374	110	550
Tb927.11.13920	Tb927_11_v5.1	3693527	3696837	+	3311	2256	1604	652	4476
Tb927.11.13930	Tb927_11_v5.1	3697427	3698587	+	1161	167	131	36	333
Tb927.11.13940	Tb927_11_v5.1	3698439	3702110	+	3672	476	371	105	1262
Tb927.11.13950	Tb927_11_v5.1	3701248	3703273	+	2026	1199	1017	182	3601
Tb927.11.13960	Tb927_11_v5.1	3703451	3704085	+	635	0	0	0	0
Tb927.11.13970	Tb927_11_v5.1	3704215	3705956	+	1742	204	200	4	735
Tb927.11.13980	Tb927_11_v5.1	3706081	3707793	+	1713	1708	952	756	2477
Tb927.11.13990	Tb927_11_v5.1	3708107	3709275	+	1169	386	334	52	709
Tb927.11.14000	Tb927_11_v5.1	3709414	3710358	+	945	3	0	3	3
Tb927.11.14010	Tb927_11_v5.1	3710452	3711328	+	877	921	599	322	1132
Tb927.11.14020	Tb927_11_v5.1	3711482	3712463	+	982	0	0	0	0
Tb927.11.14030	Tb927_11_v5.1	3712594	3713788	+	1195	183	171	12	340
Tb927.11.14040	Tb927_11_v5.1	3713947	3717699	+	3753	1703	1258	445	2904
Tb927.11.14050	Tb927_11_v5.1	3718030	3718729	+	700	911	785	126	2452
Tb927.11.14060	Tb927_11_v5.1	3718847	3720447	+	1601	363	301	62	467
Tb927.11.14070	Tb927_11_v5.1	3720648	3725369	+	4722	1912	1351	561	2825
Tb927.11.14080	Tb927_11_v5.1	3725966	3731189	+	5224	293	244	49	2837
Tb927.11.14090	Tb927_11_v5.1	3730897	3732936	+	2040	202	195	7	1623
Tb927.11.14100	Tb927_11_v5.1	3736551	3739072	+	2522	695	571	124	1127
Tb927.11.14110	Tb927_11_v5.1	3740613	3741957	+	1345	276	265	11	1008
Tb927.11.14120	Tb927_11_v5.1	3742655	3744476	+	1822	106	102	4	1270
Tb927.11.14130	Tb927_11_v5.1	3745027	3745699	+	673	3	2	1	24
Tb11.NT.176	Tb927_11_v5.1	3745830	3746452	+	623	80	80	0	1295
Tb927.11.14140	Tb927_11_v5.1	3746455	3748363	+	1909	339	279	60	609
Tb927.11.14150	Tb927_11_v5.1	3748481	3749139	+	659	99	96	3	167
