# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003738.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/counts.txt" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam
Tb927.11.13230	Tb927_11_v5.1	3547908	3550128	-	2221	669	359	310	782
Tb927.11.13240	Tb927_11_v5.1	3550258	3551496	-	1239	650	454	196	956
Tb927.11.13250	Tb927_11_v5.1	3552262	3554520	-	2259	585	531	54	2430
Tb927.11.13260	Tb927_11_v5.1;Tb927_11_v5.1	3555557;3555557	3556533;3556694	-;-	1138	1328	998	330	2240
Tb927.11.13270	Tb927_11_v5.1	3559914	3561349	-	1436	865	678	187	2350
Tb927.11.13280	Tb927_11_v5.1	3561969	3563039	-	1071	381	322	59	1056
Tb927.11.13290	Tb927_11_v5.1	3563418	3564247	-	830	220	180	40	274
Tb927.11.13300	Tb927_11_v5.1	3564484	3565769	-	1286	334	311	23	2119
Tb927.11.13310	Tb927_11_v5.1	3565887	3567286	-	1400	303	229	74	634
Tb927.11.13320	Tb927_11_v5.1	3567473	3569904	-	2432	1433	1193	240	2759
Tb927.11.13330	Tb927_11_v5.1	3570042	3571793	-	1752	1074	921	153	2465
Tb927.11.13340	Tb927_11_v5.1	3573349	3575973	-	2625	2145	1639	506	10539
Tb927.11.13350	Tb927_11_v5.1	3576080	3578930	-	2851	1004	805	199	2427
Tb927.11.13360	Tb927_11_v5.1	3579657	3583734	-	4078	1395	1088	307	3946
Tb927.11.13370	Tb927_11_v5.1	3584049	3584901	-	853	100	71	29	625
Tb927.11.13380	Tb927_11_v5.1	3586136	3592473	-	6338	2499	2045	454	5344
Tb927.11.13390	Tb927_11_v5.1	3592575	3593470	-	896	141	120	21	1488
Tb927.11.13400	Tb927_11_v5.1	3593712	3595756	-	2045	1151	932	219	3147
Tb927.11.13410	Tb927_11_v5.1	3596225	3597324	-	1100	474	415	59	1743
Tb927.11.13420	Tb927_11_v5.1	3597467	3599343	-	1877	648	524	124	1802
Tb927.11.13440	Tb927_11_v5.1	3600095	3601139	-	1045	417	327	90	1592
Tb927.11.13450	Tb927_11_v5.1	3601216	3602350	-	1135	22	17	5	22
Tb927.11.13460	Tb927_11_v5.1	3602537	3604930	-	2394	1278	1051	227	3278
Tb927.11.13470	Tb927_11_v5.1	3605398	3606115	-	718	197	184	13	1247
Tb927.11.13480	Tb927_11_v5.1	3606451	3607367	-	917	353	323	30	617
Tb927.11.13490	Tb927_11_v5.1	3607837	3609013	-	1177	231	162	69	401
Tb927.11.13500	Tb927_11_v5.1	3609530	3612496	-	2967	1253	976	277	10529
Tb927.11.13510	Tb927_11_v5.1	3613384	3613973	-	590	63	60	3	74
Tb927.11.13520	Tb927_11_v5.1	3614545	3618318	-	3774	2351	1736	615	4159
Tb927.11.13530	Tb927_11_v5.1	3618669	3619441	-	773	440	360	80	565
Tb927.11.13540	Tb927_11_v5.1	3619640	3621168	-	1529	946	585	361	6038
Tb927.11.13550	Tb927_11_v5.1	3621746	3624285	-	2540	1514	1224	290	2745
Tb927.11.13560	Tb927_11_v5.1	3624480	3626303	-	1824	269	228	41	781
Tb927.11.13570	Tb927_11_v5.1	3626408	3627470	-	1063	116	100	16	142
Tb927.11.13580	Tb927_11_v5.1	3627889	3628672	-	784	527	488	39	1015
Tb927.11.13590	Tb927_11_v5.1	3628821	3629992	-	1172	456	392	64	1834
Tb927.11.13600	Tb927_11_v5.1	3630314	3631390	-	1077	119	100	19	131
Tb927.11.13610	Tb927_11_v5.1	3631811	3632328	-	518	182	118	64	233
Tb927.11.13620	Tb927_11_v5.1	3632441	3633256	-	816	203	134	69	228
Tb927.11.13630	Tb927_11_v5.1	3633478	3635362	-	1885	1431	1162	269	3493
Tb927.11.13640	Tb927_11_v5.1	3635538	3638249	-	2712	905	553	352	2226
Tb927.11.13650	Tb927_11_v5.1	3638365	3639148	-	784	479	421	58	1042
Tb927.11.13660	Tb927_11_v5.1	3639258	3639873	-	616	5	3	2	5
Tb927.11.13670	Tb927_11_v5.1	3640013	3645131	-	5119	2407	2064	343	5818
Tb927.11.13680	Tb927_11_v5.1	3645444	3646512	-	1069	1161	1002	159	2944
Tb927.11.13690	Tb927_11_v5.1;Tb927_11_v5.1	3646659;3646659	3647331;3648295	-;-	1637	721	579	142	3287
Tb927.11.13700	Tb927_11_v5.1	3647644	3650742	-	3099	599	415	184	695
Tb927.11.13710	Tb927_11_v5.1	3650892	3651499	-	608	207	192	15	238
Tb927.11.13720	Tb927_11_v5.1	3653363	3655419	+	2057	416	289	127	776
Tb927.11.13730	Tb927_11_v5.1	3655866	3657154	+	1289	151	101	50	175
Tb927.11.13740	Tb927_11_v5.1	3660086	3664177	+	4092	605	540	65	961
Tb927.11.13750	Tb927_11_v5.1	3669496	3670391	+	896	3	0	3	3
Tb927.11.13760	Tb927_11_v5.1	3670382	3671203	+	822	23	17	6	36
Tb927.11.13770	Tb927_11_v5.1	3671384	3672882	+	1499	167	156	11	1085
Tb927.11.13780	Tb927_11_v5.1	3672986	3673559	+	574	463	332	131	642
Tb927.11.13785	Tb927_11_v5.1	3673697	3674060	+	364	456	303	153	838
Tb927.11.13790	Tb927_11_v5.1	3674155	3674630	+	476	566	367	199	786
Tb927.11.13800	Tb927_11_v5.1	3675794	3676146	+	353	53	43	10	537
Tb927.11.13810	Tb927_11_v5.1	3676357	3678809	+	2453	930	633	297	1143
Tb927.11.13820	Tb927_11_v5.1	3678946	3680126	+	1181	460	348	112	663
Tb927.11.13830	Tb927_11_v5.1	3680329	3681367	+	1039	250	212	38	976
Tb927.11.13840	Tb927_11_v5.1	3681524	3683667	+	2144	1051	683	368	1708
Tb927.11.13850	Tb927_11_v5.1	3683852	3684982	+	1131	527	354	173	3054
Tb927.11.13860	Tb927_11_v5.1	3685169	3686048	+	880	326	247	79	371
Tb927.11.13870	Tb927_11_v5.1	3687023	3687621	+	599	668	584	84	2138
Tb927.11.13880	Tb927_11_v5.1	3688035	3689531	+	1497	1604	1139	465	3449
Tb927.11.13890	Tb927_11_v5.1	3690567	3691513	+	947	730	505	225	1284
Tb927.11.13900	Tb927_11_v5.1	3691634	3692285	+	652	652	433	219	950
Tb927.11.13910	Tb927_11_v5.1	3692401	3693393	+	993	898	594	304	1111
Tb927.11.13920	Tb927_11_v5.1	3693527	3696837	+	3311	2374	1577	797	4152
Tb927.11.13930	Tb927_11_v5.1	3697427	3698587	+	1161	146	91	55	199
Tb927.11.13940	Tb927_11_v5.1	3698439	3702110	+	3672	303	207	96	900
Tb927.11.13950	Tb927_11_v5.1	3701248	3703273	+	2026	952	781	171	1687
Tb927.11.13960	Tb927_11_v5.1	3703451	3704085	+	635	65	40	25	69
Tb927.11.13970	Tb927_11_v5.1	3704215	3705956	+	1742	437	413	24	1453
Tb927.11.13980	Tb927_11_v5.1	3706081	3707793	+	1713	600	457	143	756
Tb927.11.13990	Tb927_11_v5.1	3708107	3709275	+	1169	507	434	73	1330
Tb927.11.14000	Tb927_11_v5.1	3709414	3710358	+	945	60	47	13	137
Tb927.11.14010	Tb927_11_v5.1	3710452	3711328	+	877	1011	607	404	1258
Tb927.11.14020	Tb927_11_v5.1	3711482	3712463	+	982	91	57	34	109
Tb927.11.14030	Tb927_11_v5.1	3712594	3713788	+	1195	103	88	15	146
Tb927.11.14040	Tb927_11_v5.1	3713947	3717699	+	3753	1690	1295	395	2331
Tb927.11.14050	Tb927_11_v5.1	3718030	3718729	+	700	811	689	122	1854
Tb927.11.14060	Tb927_11_v5.1	3718847	3720447	+	1601	835	605	230	1008
Tb927.11.14070	Tb927_11_v5.1	3720648	3725369	+	4722	2525	1869	656	5142
Tb927.11.14080	Tb927_11_v5.1	3725966	3731189	+	5224	467	378	89	4150
Tb927.11.14090	Tb927_11_v5.1	3730897	3732936	+	2040	146	134	12	1382
Tb927.11.14100	Tb927_11_v5.1	3736551	3739072	+	2522	579	463	116	1247
Tb927.11.14110	Tb927_11_v5.1	3740613	3741957	+	1345	595	448	147	1661
Tb927.11.14120	Tb927_11_v5.1	3742655	3744476	+	1822	367	270	97	1295
Tb927.11.14130	Tb927_11_v5.1	3745027	3745699	+	673	9	3	6	11
Tb11.NT.176	Tb927_11_v5.1	3745830	3746452	+	623	45	43	2	773
Tb927.11.14140	Tb927_11_v5.1	3746455	3748363	+	1909	699	591	108	1959
Tb927.11.14150	Tb927_11_v5.1	3748481	3749139	+	659	132	111	21	187
Tb927.11.14160	Tb927_11_v5.1	3749390	3751229	+	1840	408	381	27	791
Tb927.11.14165	Tb927_11_v5.1	3751382	3755124	+	3743	1081	828	253	4684
Tb927.11.14170	Tb927_11_v5.1	3755604	3757607	+	2004	1065	783	282	4240
Tb927.11.14180	Tb927_11_v5.1	3757734	3760921	+	3188	1332	1229	103	3821
Tb927.11.14190	Tb927_11_v5.1	3761069	3764339	+	3271	2451	1764	687	5467
Tb927.11.14200	Tb927_11_v5.1	3764520	3765358	+	839	349	248	101	424
Tb927.11.14210	Tb927_11_v5.1	3766789	3771167	+	4379	1127	943	184	2252
Tb927.11.14220	Tb927_11_v5.1	3771742	3776285	+	4544	966	845	121	2267
Tb927.11.14230	Tb927_11_v5.1	3787347	3789360	+	2014	542	439	103	1042
Tb927.11.14240	Tb927_11_v5.1	3789898	3793190	+	3293	2480	2093	387	6027
Tb927.11.14250	Tb927_11_v5.1	3793425	3795685	+	2261	740	634	106	1333
Tb927.11.14260	Tb927_11_v5.1	3795885	3797321	+	1437	1003	683	320	2006
Tb927.11.14270	Tb927_11_v5.1	3797468	3800236	+	2769	1754	1469	285	3900
Tb927.11.14280	Tb927_11_v5.1	3800430	3801218	+	789	161	118	43	188
Tb927.11.14290	Tb927_11_v5.1	3802171	3803412	+	1242	460	336	124	1211
Tb927.11.14300	Tb927_11_v5.1	3803540	3805591	+	2052	230	219	11	575
Tb927.11.14310	Tb927_11_v5.1	3806033	3807084	+	1052	167	141	26	740
Tb927.11.14320	Tb927_11_v5.1	3807201	3808156	+	956	451	340	111	610
Tb11.NT.178	Tb927_11_v5.1	3808328	3808622	+	295	71	66	5	85
Tb927.11.14330	Tb927_11_v5.1	3808658	3813487	+	4830	1046	860	186	2884
Tb927.11.14340	Tb927_11_v5.1	3814923	3818203	+	3281	1181	951	230	2053
Tb927.11.14350	Tb927_11_v5.1	3819018	3820088	+	1071	247	209	38	457
Tb927.11.14360	Tb927_11_v5.1	3820733	3822078	+	1346	565	495	70	893
Tb927.11.14370	Tb927_11_v5.1	3822186	3825887	+	3702	2660	1746	914	4629
Tb927.11.14380	Tb927_11_v5.1	3826013	3828148	+	2136	761	687	74	1303
Tb927.11.14390	Tb927_11_v5.1	3828304	3829989	+	1686	680	557	123	904
Tb11.NT.179	Tb927_11_v5.1	3830137	3830407	+	271	31	28	3	38
Tb927.11.14400	Tb927_11_v5.1	3830475	3831532	+	1058	765	554	211	1425
Tb927.11.14410	Tb927_11_v5.1	3832360	3835065	+	2706	1862	1331	531	3891
Tb927.11.14420	Tb927_11_v5.1	3835185	3836583	+	1399	417	297	120	1032
Tb927.11.14430	Tb927_11_v5.1	3836751	3837866	+	1116	558	479	79	2327
Tb927.11.14440	Tb927_11_v5.1	3838003	3840492	+	2490	1103	798	305	3869
Tb927.11.14450	Tb927_11_v5.1	3840923	3843323	+	2401	1220	934	286	3435
Tb927.11.14460	Tb927_11_v5.1	3843820	3845228	+	1409	688	560	128	1314
Tb927.11.14470	Tb927_11_v5.1	3845517	3848198	+	2682	1143	810	333	1895
Tb927.11.14480	Tb927_11_v5.1	3848342	3849821	+	1480	1545	999	546	3266
Tb927.11.14490	Tb927_11_v5.1	3849996	3850852	+	857	814	481	333	3189
Tb927.11.14495	Tb927_11_v5.1	3850986	3851453	+	468	170	126	44	228
Tb927.11.14500	Tb927_11_v5.1	3851606	3853348	+	1743	208	179	29	816
Tb927.11.14510	Tb927_11_v5.1	3853440	3853937	-	498	13	10	3	13
Tb927.11.14520	Tb927_11_v5.1	3855020	3856023	+	1004	74	42	32	313
Tb927.11.14530	Tb927_11_v5.1	3856151	3858295	+	2145	960	774	186	1790
Tb927.11.14540	Tb927_11_v5.1	3858413	3860711	+	2299	211	163	48	313
Tb927.11.14550	Tb927_11_v5.1	3860927	3863286	+	2360	309	293	16	1855
Tb927.11.14560	Tb927_11_v5.1	3863402	3867958	+	4557	2690	1806	884	6528
Tb927.11.14570	Tb927_11_v5.1	3868126	3869650	+	1525	448	377	71	1438
Tb927.11.14580	Tb927_11_v5.1	3869843	3871876	+	2034	667	600	67	2151
Tb927.11.14590	Tb927_11_v5.1	3872044	3874710	+	2667	766	658	108	2120
Tb927.11.14595	Tb927_11_v5.1	3874832	3876916	+	2085	970	768	202	4670
Tb927.11.14600	Tb927_11_v5.1	3878462	3879693	+	1232	1082	802	280	1914
Tb927.11.14610	Tb927_11_v5.1	3879813	3880933	+	1121	643	527	116	2240
Tb927.11.14620	Tb927_11_v5.1	3881030	3882411	+	1382	1421	1084	337	3277
Tb11.01.6240	Tb927_11_v5.1	3882531	3883913	+	1383	199	141	58	307
Tb11.01.6250	Tb927_11_v5.1	3884100	3887100	+	3001	3266	2531	735	8771
Tb927.11.14630	Tb927_11_v5.1	3887119	3891440	-	4322	849	686	163	1261
Tb927.11.14640	Tb927_11_v5.1	3891828	3893681	-	1854	554	428	126	1156
Tb927.11.14650	Tb927_11_v5.1	3893948	3897505	-	3558	1370	1025	345	4834
Tb927.11.14660	Tb927_11_v5.1	3897762	3898240	-	479	155	47	108	1133
Tb927.11.14670	Tb927_11_v5.1	3898325	3899028	-	704	897	623	274	2253
Tb927.11.14680	Tb927_11_v5.1	3899433	3908089	-	8657	4266	3447	819	9671
Tb927.11.14690	Tb927_11_v5.1	3908214	3909330	-	1117	139	134	5	570
Tb927.11.14700	Tb927_11_v5.1	3909474	3911287	-	1814	1786	1463	323	3321
Tb927.11.14705	Tb927_11_v5.1	3911447	3911851	-	405	3	2	1	4
Tb927.11.14710	Tb927_11_v5.1	3911978	3912781	-	804	117	113	4	1210
Tb927.11.14720	Tb927_11_v5.1	3912906	3914291	-	1386	171	167	4	877
Tb927.11.14730	Tb927_11_v5.1	3914489	3917180	-	2692	892	619	273	1778
Tb927.11.14740	Tb927_11_v5.1	3917293	3919492	-	2200	1322	850	472	1772
Tb927.11.14750	Tb927_11_v5.1	3922681	3923959	-	1279	470	382	88	640
Tb927.11.14760	Tb927_11_v5.1	3924384	3926756	-	2373	1430	1025	405	2701
Tb927.11.14770	Tb927_11_v5.1	3926866	3928524	-	1659	717	643	74	1988
Tb927.11.14780	Tb927_11_v5.1	3928651	3931145	-	2495	1000	694	306	1741
Tb927.11.14790	Tb927_11_v5.1;Tb927_11_v5.1	3931355;3931355	3934170;3934197	-;-	2843	339	249	90	1320
Tb927.11.14800	Tb927_11_v5.1	3934446	3936083	-	1638	1366	964	402	2255
Tb927.11.14810	Tb927_11_v5.1	3936226	3937350	-	1125	230	210	20	923
Tb927.11.14820	Tb927_11_v5.1	3937708	3939977	-	2270	1173	853	320	2062
Tb927.11.14830	Tb927_11_v5.1	3940115	3941339	-	1225	417	352	65	761
Tb927.11.14840	Tb927_11_v5.1	3941511	3943388	-	1878	570	467	103	2124
Tb927.11.14850	Tb927_11_v5.1	3944090	3946460	-	2371	1637	1354	283	2678
Tb927.11.14860	Tb927_11_v5.1	3946961	3948958	-	1998	3184	1271	1913	6632
Tb927.11.14870	Tb927_11_v5.1	3948928	3950260	-	1333	1071	640	431	1553
Tb927.11.14880	Tb927_11_v5.1	3950399	3952555	-	2157	313	211	102	3208
Tb11.NT.185	Tb927_11_v5.1	3952678	3952945	-	268	52	45	7	137
Tb927.11.14890	Tb927_11_v5.1	3953252	3955426	-	2175	219	158	61	639
Tb927.11.14900	Tb927_11_v5.1	3955591	3956721	-	1131	311	203	108	368
Tb927.11.14910	Tb927_11_v5.1	3956957	3959894	-	2938	714	598	116	3338
Tb927.11.14920	Tb927_11_v5.1	3960012	3971317	-	11306	3305	2840	465	7778
Tb927.11.14930	Tb927_11_v5.1	3971667	3974690	-	3024	1555	1159	396	2994
Tb927.11.14940	Tb927_11_v5.1	3974829	3976728	-	1900	1054	727	327	1974
Tb927.11.14950	Tb927_11_v5.1	3977047	3978823	-	1777	140	125	15	1249
Tb927.11.14960	Tb927_11_v5.1	3978780	3982037	-	3258	968	873	95	4259
Tb927.11.14970	Tb927_11_v5.1	3982739	3985250	-	2512	700	643	57	2925
Tb927.11.14980	Tb927_11_v5.1	3985729	3987390	-	1662	748	498	250	963
Tb927.11.14990	Tb927_11_v5.1	3988190	3990058	-	1869	501	302	199	3131
Tb927.11.14995	Tb927_11_v5.1	3990270	3990734	-	465	236	180	56	306
Tb927.11.15000	Tb927_11_v5.1	3991350	3991946	-	597	342	310	32	1077
Tb927.11.15010	Tb927_11_v5.1	3992052	3996106	-	4055	1512	1223	289	2989
Tb927.11.15020	Tb927_11_v5.1	3996305	3997476	-	1172	415	377	38	798
Tb927.11.15030	Tb927_11_v5.1	3997609	3999633	-	2025	855	728	127	2117
Tb927.11.15040	Tb927_11_v5.1	4000459	4002305	-	1847	1675	1434	241	3519
Tb927.11.15050	Tb927_11_v5.1	4002497	4004348	-	1852	713	414	299	1015
Tb927.11.15060	Tb927_11_v5.1;Tb927_11_v5.1	4004504;4004504	4005057;4005797	-;-	1294	12	7	5	13
Tb927.11.15070	Tb927_11_v5.1	4005174	4009381	-	4208	1008	804	204	2735
Tb927.11.15080	Tb927_11_v5.1	4009528	4010315	-	788	395	305	90	506
Tb927.11.15090	Tb927_11_v5.1	4010561	4012521	-	1961	557	368	189	1088
Tb927.11.15100	Tb927_11_v5.1	4012636	4016729	-	4094	145	120	25	326
Tb927.11.15110	Tb927_11_v5.1	4017871	4019597	-	1727	656	474	182	1035
Tb927.11.15120	Tb927_11_v5.1	4021104	4023366	-	2263	673	521	152	1071
Tb927.11.15130	Tb927_11_v5.1	4023873	4024954	-	1082	1154	982	172	3981
Tb927.11.15140	Tb927_11_v5.1	4025217	4027689	-	2473	543	412	131	833
Tb927.11.15150	Tb927_11_v5.1	4027823	4029515	-	1693	234	173	61	756
Tb927.11.15160	Tb927_11_v5.1	4029450	4033595	-	4146	1147	927	220	4142
Tb927.11.15170	Tb927_11_v5.1	4033763	4034958	-	1196	265	223	42	948
Tb927.11.15180	Tb927_11_v5.1	4035098	4035720	-	623	378	215	163	581
Tb927.11.15190	Tb927_11_v5.1	4036112	4038176	-	2065	825	594	231	1379
Tb927.11.15200	Tb927_11_v5.1	4038469	4039561	-	1093	536	512	24	3257
Tb927.11.15210	Tb927_11_v5.1	4039681	4041209	-	1529	1308	1007	301	1763
Tb927.11.15220	Tb927_11_v5.1	4041643	4042579	-	937	492	374	118	612
Tb927.11.15230	Tb927_11_v5.1	4043050	4044308	-	1259	391	362	29	1278
Tb927.11.15240	Tb927_11_v5.1	4046522	4047437	-	916	151	111	40	202
Tb927.11.15250	Tb927_11_v5.1	4047656	4049813	-	2158	542	456	86	797
Tb927.11.15255	Tb927_11_v5.1	4049927	4050446	-	520	367	319	48	669
Tb927.11.15270	Tb927_11_v5.1	4051735	4052595	-	861	222	151	71	249
Tb927.11.15280	Tb927_11_v5.1	4052803	4053910	-	1108	814	657	157	3818
Tb927.11.15290	Tb927_11_v5.1	4054022	4055116	-	1095	774	619	155	1612
Tb927.11.15300	Tb927_11_v5.1	4055402	4056482	-	1081	1102	800	302	1514
Tb927.11.15310	Tb927_11_v5.1	4056773	4059355	-	2583	1345	1154	191	2372
Tb927.11.15320	Tb927_11_v5.1	4059787	4062637	-	2851	1434	1210	224	2725
Tb927.11.15330	Tb927_11_v5.1	4063355	4067412	-	4058	2052	1170	882	5297
Tb927.11.15340	Tb927_11_v5.1	4067845	4069874	-	2030	734	618	116	3285
Tb927.11.15350	Tb927_11_v5.1	4070018	4071112	-	1095	559	315	244	628
Tb927.11.15360	Tb927_11_v5.1	4071234	4072145	-	912	954	863	91	9179
Tb927.11.15370	Tb927_11_v5.1	4072262	4076775	-	4514	671	490	181	2269
Tb927.11.15375	Tb927_11_v5.1	4078601	4079014	-	414	139	122	17	153
Tb927.11.15380	Tb927_11_v5.1	4081076	4083478	-	2403	514	352	162	1300
Tb927.11.15390	Tb927_11_v5.1	4087464	4088650	-	1187	1297	840	457	2289
Tb927.11.15400	Tb927_11_v5.1	4089241	4092914	-	3674	3078	2370	708	6150
Tb11.NT.192	Tb927_11_v5.1	4093021	4093433	-	413	2	0	2	2
Tb927.11.15410	Tb927_11_v5.1	4094013	4095165	-	1153	226	177	49	535
Tb927.11.15420	Tb927_11_v5.1	4095291	4096258	-	968	179	133	46	284
Tb927.11.15430	Tb927_11_v5.1	4097248	4100253	-	3006	1028	789	239	1953
Tb927.11.15440	Tb927_11_v5.1	4100399	4101261	-	863	554	411	143	2002
Tb927.11.15450	Tb927_11_v5.1	4101684	4108702	-	7019	14539	11579	2960	19953
Tb927.11.15460	Tb927_11_v5.1	4108809	4111656	-	2848	1355	1049	306	1812
Tb927.11.15470	Tb927_11_v5.1	4111938	4114062	-	2125	317	202	115	463
Tb927.11.15480	Tb927_11_v5.1	4114176	4115178	-	1003	333	245	88	516
Tb927.11.15490	Tb927_11_v5.1	4115407	4117704	-	2298	237	195	42	319
Tb927.11.15500	Tb927_11_v5.1	4118101	4119040	-	940	339	272	67	3184
Tb927.11.15510	Tb927_11_v5.1	4119283	4120610	-	1328	446	318	128	738
Tb927.11.15520	Tb927_11_v5.1	4120912	4123275	-	2364	961	626	335	2896
Tb927.11.15530	Tb927_11_v5.1	4123986	4125780	-	1795	536	380	156	846
Tb927.11.15540	Tb927_11_v5.1	4126064	4127989	-	1926	526	400	126	722
Tb927.11.15550	Tb927_11_v5.1	4126688	4129850	-	3163	655	556	99	2105
Tb927.11.15560	Tb927_11_v5.1	4130449	4132180	-	1732	174	154	20	308
Tb927.11.15570	Tb927_11_v5.1	4132292	4134392	-	2101	849	606	243	2165
Tb927.11.15580	Tb927_11_v5.1	4134517	4135916	-	1400	308	245	63	934
Tb927.11.15590	Tb927_11_v5.1	4136223	4137148	-	926	849	597	252	1363
Tb927.11.15600	Tb927_11_v5.1	4137266	4139826	-	2561	726	584	142	1486
Tb927.11.15610	Tb927_11_v5.1	4139315	4143482	-	4168	1537	1086	451	2981
Tb927.11.15620	Tb927_11_v5.1	4143599	4145734	-	2136	1548	1307	241	4215
Tb927.11.15630	Tb927_11_v5.1	4146051	4147246	-	1196	1132	945	187	2441
Tb927.11.15640	Tb927_11_v5.1	4147472	4149193	-	1722	917	695	222	1340
Tb927.11.15650	Tb927_11_v5.1	4148929	4150610	-	1682	298	234	64	412
Tb927.11.15660	Tb927_11_v5.1	4150718	4152730	-	2013	128	85	43	479
Tb927.11.15675	Tb927_11_v5.1	4153204	4153478	-	275	1	0	1	1
Tb927.11.15680	Tb927_11_v5.1	4154179	4154818	-	640	274	206	68	363
Tb927.11.15690	Tb927_11_v5.1	4154767	4158276	-	3510	863	628	235	1071
Tb927.11.15700	Tb927_11_v5.1	4158442	4159220	-	779	372	255	117	1125
Tb927.11.15710	Tb927_11_v5.1	4159466	4161175	-	1710	593	522	71	1261
Tb927.11.15720	Tb927_11_v5.1	4163396	4164056	-	661	133	117	16	527
Tb927.11.15730	Tb927_11_v5.1	4164157	4166534	-	2378	928	803	125	2243
Tb927.11.15740	Tb927_11_v5.1	4166652	4168838	-	2187	649	387	262	4640
Tb927.11.15750	Tb927_11_v5.1	4169058	4173374	-	4317	832	540	292	1464
Tb927.11.15760	Tb927_11_v5.1	4173544	4175009	-	1466	293	185	108	386
Tb927.11.15770	Tb927_11_v5.1	4175155	4177024	-	1870	1041	715	326	5415
Tb927.11.15780	Tb927_11_v5.1	4177904	4178317	-	414	21	15	6	21
Tb927.11.15790	Tb927_11_v5.1	4179122	4180572	-	1451	333	262	71	937
Tb927.11.15800	Tb927_11_v5.1	4180878	4184168	-	3291	307	242	65	431
Tb927.11.15810	Tb927_11_v5.1	4184763	4185851	-	1089	1158	764	394	3136
Tb927.11.15820	Tb927_11_v5.1	4186112	4187706	-	1595	703	436	267	1023
Tb927.11.15830	Tb927_11_v5.1	4187883	4193047	-	5165	1528	1266	262	2987
Tb927.11.15840	Tb927_11_v5.1	4194125	4196461	-	2337	1266	1009	257	2553
Tb927.11.15850	Tb927_11_v5.1	4196613	4199110	-	2498	1594	1170	424	4495
Tb927.11.15855	Tb927_11_v5.1	4199506	4199841	-	336	48	20	28	216
Tb927.11.15860	Tb927_11_v5.1	4200678	4203058	-	2381	888	727	161	1912
Tb927.11.15870	Tb927_11_v5.1	4203216	4205718	-	2503	936	731	205	2169
Tb927.11.15880	Tb927_11_v5.1	4205911	4206400	-	490	15	11	4	15
Tb927.11.15890	Tb927_11_v5.1	4206699	4209665	-	2967	831	772	59	3879
Tb927.11.15900	Tb927_11_v5.1	4209821	4210311	-	491	67	61	6	1266
Tb927.11.15910	Tb927_11_v5.1	4210434	4212691	-	2258	1563	1225	338	5207
Tb927.11.15920	Tb927_11_v5.1	4212854	4213423	-	570	69	60	9	117
Tb927.11.15930	Tb927_11_v5.1	4213806	4214349	-	544	216	148	68	2664
Tb927.11.15940	Tb927_11_v5.1	4214799	4217807	-	3009	3924	2932	992	9503
Tb927.11.15950	Tb927_11_v5.1	4217975	4222293	-	4319	1265	1055	210	4767
Tb927.11.15960	Tb927_11_v5.1	4223225	4224880	-	1656	344	278	66	1491
Tb927.11.15970	Tb927_11_v5.1	4225823	4229661	-	3839	2035	1372	663	3231
Tb927.11.15980	Tb927_11_v5.1	4229980	4232957	-	2978	1213	1025	188	4917
Tb927.11.15990	Tb927_11_v5.1	4233095	4236926	-	3832	524	370	154	885
Tb927.11.16000	Tb927_11_v5.1	4237044	4238265	-	1222	1278	833	445	2520
Tb927.11.16010	Tb927_11_v5.1	4238549	4243061	-	4513	1041	725	316	1786
Tb927.11.16020	Tb927_11_v5.1	4243200	4244825	-	1626	2276	1508	768	7122
Tb927.11.16030	Tb927_11_v5.1	4245537	4246925	-	1389	394	360	34	1044
Tb927.11.16040	Tb927_11_v5.1	4247046	4249205	-	2160	1413	872	541	2991
Tb927.11.16050	Tb927_11_v5.1	4249305	4251290	-	1986	776	551	225	1207
Tb927.11.16060	Tb927_11_v5.1	4252014	4253667	-	1654	468	260	208	584
Tb927.11.16070	Tb927_11_v5.1	4253881	4255214	-	1334	116	100	16	333
Tb927.11.16080	Tb927_11_v5.1	4255347	4256741	-	1395	94	88	6	756
Tb927.11.16090	Tb927_11_v5.1	4256887	4260215	-	3329	408	359	49	1013
Tb927.11.16100	Tb927_11_v5.1	4260353	4264865	-	4513	2073	1686	387	10043
Tb927.11.16110	Tb927_11_v5.1	4264973	4267318	-	2346	2017	1707	310	5003
Tb927.11.16120	Tb927_11_v5.1	4269603	4271580	-	1978	2351	1539	812	4531
Tb927.11.16130	Tb927_11_v5.1	4271719	4272509	-	791	368	273	95	507
