# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003737.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003737.1.all.q/CM03_D_LG_S3/counts.txt" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam
Tb927.10.8480	Tb927_10_v5.1	2102972	2105423	+	2452	952	635	317	1466
Tb927.10.8490	Tb927_10_v5.1	2105534	2107989	+	2456	1063	768	295	1473
Tb927.10.8500	Tb927_10_v5.1	2108100	2109736	+	1637	645	403	242	865
Tb927.10.8510	Tb927_10_v5.1	2110665	2112975	+	2311	1130	836	294	1555
Tb927.10.8520	Tb927_10_v5.1	2113229	2115680	+	2452	1549	1080	469	2255
Tb927.10.8530	Tb927_10_v5.1	2115791	2118125	+	2335	1120	781	339	1566
Tb927.10.8540	Tb927_10_v5.1	2118238	2119903	+	1666	27	26	1	590
Tb927.10.8560	Tb927_10_v5.1	2119743	2121098	+	1356	0	0	0	0
Tb927.10.8570	Tb927_10_v5.1	2121263	2123555	+	2293	4349	2394	1955	13074
Tb927.10.8580	Tb927_10_v5.1	2123739	2124681	+	943	784	232	552	1079
Tb927.10.8585	Tb927_10_v5.1	2124784	2125413	+	630	291	135	156	362
Tb927.10.8590	Tb927_10_v5.1	2125564	2129436	+	3873	2179	637	1542	2474
Tb927.10.8600	Tb927_10_v5.1	2130322	2134433	+	4112	1162	655	507	2794
Tb927.10.8610	Tb927_10_v5.1	2134563	2137309	+	2747	317	300	17	1043
Tb927.10.8620	Tb927_10_v5.1	2137647	2138359	+	713	0	0	0	0
Tb927.10.8630	Tb927_10_v5.1	2138468	2139402	+	935	766	505	261	1845
Tb927.10.8640	Tb927_10_v5.1	2139619	2140922	+	1304	606	569	37	2945
Tb927.10.8650	Tb927_10_v5.1	2141139	2142362	+	1224	831	760	71	1920
Tb927.10.8660	Tb927_10_v5.1	2142597	2143713	+	1117	663	402	261	1302
Tb927.10.8670	Tb927_10_v5.1	2144186	2145134	+	949	1	0	1	1
Tb927.10.8680	Tb927_10_v5.1	2145299	2146735	+	1437	679	321	358	1514
Tb927.10.8690	Tb927_10_v5.1	2148299	2150326	+	2028	58	57	1	1731
Tb927.10.8700	Tb927_10_v5.1	2150196	2150679	+	484	0	0	0	0
Tb927.10.8710	Tb927_10_v5.1	2151670	2152905	+	1236	0	0	0	0
Tb927.10.8720	Tb927_10_v5.1	2152806	2155840	+	3035	1310	1095	215	5599
Tb927.10.8730	Tb927_10_v5.1	2155974	2157748	+	1775	163	157	6	864
Tb927.10.8740	Tb927_10_v5.1	2158259	2159246	+	988	0	0	0	0
Tb927.10.8750	Tb927_10_v5.1	2159773	2160827	+	1055	0	0	0	0
Tb927.10.8760	Tb927_10_v5.1	2161204	2162881	+	1678	0	0	0	0
Tb927.10.8770	Tb927_10_v5.1	2162992	2164917	+	1926	381	372	9	4918
Tb927.10.8780	Tb927_10_v5.1	2165205	2171806	+	6602	1882	648	1234	4154
Tb927.10.8790	Tb927_10_v5.1	2172142	2173007	+	866	276	247	29	1581
Tb927.10.8800	Tb927_10_v5.1	2173633	2175564	+	1932	770	617	153	3928
Tb927.10.8810	Tb927_10_v5.1	2176277	2179027	+	2751	2485	820	1665	6838
Tb927.10.8820	Tb927_10_v5.1	2179476	2183159	+	3684	1383	648	735	4792
Tb927.10.8830	Tb927_10_v5.1	2183349	2188195	+	4847	77	76	1	2888
Tb927.10.8840	Tb927_10_v5.1	2188631	2189777	+	1147	467	420	47	3949
Tb927.10.8850	Tb927_10_v5.1	2190010	2192313	+	2304	1304	704	600	4699
Tb927.10.8860	Tb927_10_v5.1	2192760	2194423	+	1664	471	272	199	1214
Tb927.10.8870	Tb927_10_v5.1	2195868	2196781	+	914	62	62	0	227
Tb927.10.8880	Tb927_10_v5.1	2197046	2198938	+	1893	496	485	11	3812
Tb927.10.8890	Tb927_10_v5.1	2199070	2202274	+	3205	2146	1399	747	7791
Tb927.10.8900	Tb927_10_v5.1	2203133	2206536	+	3404	2372	877	1495	3565
Tb927.10.8910	Tb927_10_v5.1	2208024	2213557	+	5534	1249	800	449	5118
Tb927.10.8920	Tb927_10_v5.1	2213783	2215310	+	1528	258	163	95	718
Tb927.10.8930	Tb927_10_v5.1	2215489	2218861	+	3373	1674	488	1186	2699
Tb927.10.8940	Tb927_10_v5.1	2219386	2221909	+	2524	9	5	4	10
Tb927.10.8950	Tb927_10_v5.1	2223081	2223573	+	493	243	191	52	1572
Tb927.10.8960	Tb927_10_v5.1	2224233	2225937	+	1705	1203	773	430	7092
Tb927.10.8970	Tb927_10_v5.1	2226076	2226763	+	688	240	190	50	1581
Tb927.10.8980	Tb927_10_v5.1	2227030	2227666	+	637	1625	1015	610	4490
Tb927.10.8990	Tb927_10_v5.1	2228357	2229647	+	1291	1342	773	569	3872
Tb927.10.9000	Tb927_10_v5.1	2229869	2235005	+	5137	750	582	168	1580
Tb927.10.9010	Tb927_10_v5.1	2235141	2235944	+	804	493	245	248	824
Tb927.10.9020	Tb927_10_v5.1	2236060	2237640	+	1581	1456	699	757	12362
Tb927.10.9025	Tb927_10_v5.1	2237783	2238289	+	507	0	0	0	0
Tb927.10.9030	Tb927_10_v5.1	2238579	2239147	+	569	306	194	112	531
Tb927.10.9040	Tb927_10_v5.1	2239401	2244313	+	4913	5975	3194	2781	11078
Tb927.10.9050	Tb927_10_v5.1	2244421	2246688	+	2268	1568	979	589	4471
Tb927.10.9060	Tb927_10_v5.1	2246835	2248375	+	1541	727	638	89	2913
Tb927.10.9070	Tb927_10_v5.1	2248548	2250535	+	1988	2405	1383	1022	6642
Tb927.10.9080	Tb927_10_v5.1	2250675	2253112	+	2438	1885	780	1105	4443
Tb927.10.9090	Tb927_10_v5.1	2254241	2256339	+	2099	2879	1601	1278	16042
Tb927.10.9100	Tb927_10_v5.1	2256502	2258814	+	2313	0	0	0	0
Tb927.10.9110	Tb927_10_v5.1	2258965	2259947	+	983	28	26	2	706
Tb927.10.9120	Tb927_10_v5.1	2260218	2261843	+	1626	1	0	1	1
Tb927.10.9130	Tb927_10_v5.1	2261972	2264365	+	2394	2150	1307	843	5149
Tb927.10.9140	Tb927_10_v5.1	2264513	2266556	+	2044	725	555	170	2107
Tb927.10.9150	Tb927_10_v5.1	2266773	2268051	+	1279	226	199	27	651
Tb927.10.9160	Tb927_10_v5.1	2268184	2270450	+	2267	40	36	4	44
Tb927.10.9170	Tb927_10_v5.1	2270565	2271226	+	662	23	23	0	236
Tb927.10.9180	Tb927_10_v5.1	2271715	2273769	+	2055	366	343	23	1011
Tb10.NT.102	Tb927_10_v5.1	2274281	2274659	+	379	1054	524	530	2554
Tb927.10.9190	Tb927_10_v5.1;Tb927_10_v5.1	2274615;2274813	2278046;2278046	+;+	3432	47	47	0	98
Tb927.10.9200	Tb927_10_v5.1	2274769	2280406	+	5638	4376	1462	2914	10231
Tb927.10.9210	Tb927_10_v5.1	2280551	2282250	+	1700	4	4	0	31
Tb927.10.9220	Tb927_10_v5.1	2282437	2283436	+	1000	38	38	0	1150
Tb927.10.9230	Tb927_10_v5.1	2286219	2288594	+	2376	550	436	114	1124
Tb927.10.9240	Tb927_10_v5.1	2289156	2290445	+	1290	1	0	1	1
Tb927.10.9250	Tb927_10_v5.1	2291656	2293217	+	1562	3799	1235	2564	7481
Tb927.10.9260	Tb927_10_v5.1	2293378	2294885	+	1508	192	181	11	378
Tb927.10.9270	Tb927_10_v5.1	2295286	2297066	+	1781	933	367	566	1524
Tb927.10.9280	Tb927_10_v5.1	2297231	2300146	+	2916	255	208	47	779
Tb927.10.9290	Tb927_10_v5.1	2300466	2302000	+	1535	0	0	0	0
Tb927.10.9300	Tb927_10_v5.1	2302142	2303807	+	1666	132	94	38	229
Tb927.10.9310	Tb927_10_v5.1	2303979	2305200	+	1222	1	0	1	1
Tb927.10.9320	Tb927_10_v5.1	2305968	2307309	+	1342	0	0	0	0
Tb10.NT.103	Tb927_10_v5.1	2307475	2309425	+	1951	0	0	0	0
Tb927.10.9330	Tb927_10_v5.1	2309533	2311734	+	2202	3112	661	2451	5722
Tb927.10.9340	Tb927_10_v5.1	2312664	2313907	+	1244	15	14	1	412
Tb927.10.9350	Tb927_10_v5.1	2313926	2316545	+	2620	6	4	2	20
Tb927.10.9360	Tb927_10_v5.1	2316844	2318946	+	2103	550	523	27	1231
Tb927.10.9370	Tb927_10_v5.1	2319557	2320621	+	1065	3867	1423	2444	8799
Tb927.10.9380	Tb927_10_v5.1	2321015	2322954	+	1940	5430	2041	3389	16580
Tb927.10.9390	Tb927_10_v5.1	2323223	2324349	+	1127	1793	207	1586	2433
Tb927.10.9400	Tb927_10_v5.1	2324458	2325447	+	990	1102	509	593	2023
Tb927.10.9410	Tb927_10_v5.1	2325565	2326990	+	1426	1	0	1	1
Tb927.10.9420	Tb927_10_v5.1	2327147	2328833	+	1687	262	230	32	575
Tb927.10.9430	Tb927_10_v5.1	2329126	2330380	+	1255	546	309	237	759
Tb927.10.9440	Tb927_10_v5.1	2331289	2334727	+	3439	632	531	101	2126
Tb927.10.9445	Tb927_10_v5.1	2337045	2337399	+	355	0	0	0	0
Tb927.10.9450	Tb927_10_v5.1	2337592	2340379	+	2788	0	0	0	0
Tb927.10.9465	Tb927_10_v5.1	2338767	2341225	+	2459	0	0	0	0
Tb927.10.9470	Tb927_10_v5.1	2342112	2343287	+	1176	403	312	91	1001
Tb927.10.9480	Tb927_10_v5.1	2343403	2344578	+	1176	408	301	107	931
Tb927.10.9490	Tb927_10_v5.1	2344667	2345875	+	1209	3	3	0	3
Tb927.10.9500	Tb927_10_v5.1	2345946	2347181	+	1236	33	33	0	40
Tb927.10.9510	Tb927_10_v5.1	2350151	2350784	+	634	183	175	8	320
Tb927.10.9530	Tb927_10_v5.1	2350953	2355709	-	4757	9	5	4	109
Tb927.10.9550	Tb927_10_v5.1	2357428	2358033	+	606	581	287	294	1212
Tb927.10.9560	Tb927_10_v5.1	2358887	2359936	+	1050	0	0	0	0
Tb927.10.9570	Tb927_10_v5.1	2360281	2363808	+	3528	4013	1618	2395	7156
Tb927.10.9590	Tb927_10_v5.1;Tb927_10_v5.1	2363946;2366098	2366885;2366885	+;+	2940	1625	999	626	12097
Tb927.10.9600	Tb927_10_v5.1	2367059	2369102	+	2044	263	245	18	581
Tb927.10.9610	Tb927_10_v5.1	2369780	2372184	+	2405	1221	506	715	1874
Tb927.10.9620	Tb927_10_v5.1	2372831	2374230	+	1400	0	0	0	0
Tb927.10.9630	Tb927_10_v5.1	2374367	2374849	+	483	0	0	0	0
Tb927.10.9640	Tb927_10_v5.1	2375145	2376366	+	1222	718	513	205	2237
Tb927.10.9650	Tb927_10_v5.1	2377468	2381904	+	4437	334	225	109	1380
Tb927.10.9660	Tb927_10_v5.1	2382352	2384790	+	2439	4178	1339	2839	8403
Tb927.10.9670	Tb927_10_v5.1	2384901	2387992	+	3092	1301	958	343	7003
Tb927.10.9675	Tb927_10_v5.1	2388389	2389099	+	711	20	20	0	777
Tb927.10.9680	Tb927_10_v5.1	2389223	2390844	+	1622	357	338	19	2022
Tb927.10.9690	Tb927_10_v5.1	2390978	2397658	+	6681	6266	2624	3642	25762
Tb927.10.9700	Tb927_10_v5.1	2397782	2402312	+	4531	1356	1124	232	6119
Tb927.10.9710	Tb927_10_v5.1	2402390	2402869	+	480	0	0	0	0
Tb927.10.9720	Tb927_10_v5.1	2403370	2405485	+	2116	6618	1623	4995	11057
Tb927.10.9730	Tb927_10_v5.1	2405668	2407190	+	1523	1	0	1	1
Tb927.10.9740	Tb927_10_v5.1	2407356	2409320	+	1965	165	157	8	624
Tb927.10.9750	Tb927_10_v5.1	2409545	2417903	+	8359	2724	483	2241	3240
Tb927.10.9760	Tb927_10_v5.1	2418016	2419536	+	1521	1186	226	960	1562
Tb927.10.9770	Tb927_10_v5.1	2419664	2422073	+	2410	422	397	25	1552
Tb927.10.9780	Tb927_10_v5.1	2422262	2425902	+	3641	2185	1350	835	13196
Tb927.10.9790	Tb927_10_v5.1	2426026	2426599	+	574	0	0	0	0
Tb927.10.9800	Tb927_10_v5.1	2426818	2427541	+	724	137	89	48	5709
Tb927.10.9810	Tb927_10_v5.1	2428219	2429379	+	1161	1	0	1	1
Tb927.10.9820	Tb927_10_v5.1	2429554	2431661	+	2108	937	521	416	2350
Tb927.10.9830	Tb927_10_v5.1	2432074	2433436	+	1363	1731	730	1001	3746
Tb927.10.9840	Tb927_10_v5.1	2433368	2434587	+	1220	1615	595	1020	3556
Tb927.10.9850	Tb927_10_v5.1	2434818	2436612	+	1795	128	99	29	157
Tb927.10.9860	Tb927_10_v5.1	2437121	2438865	+	1745	2	0	2	2
Tb927.10.9870	Tb927_10_v5.1	2439033	2439860	+	828	1	0	1	1
Tb927.10.9880	Tb927_10_v5.1	2440509	2441208	+	700	0	0	0	0
Tb927.10.9890	Tb927_10_v5.1	2441353	2445030	+	3678	1522	999	523	3862
Tb927.10.9900	Tb927_10_v5.1	2445593	2447396	+	1804	288	282	6	6594
Tb927.10.9910	Tb927_10_v5.1	2447532	2450931	+	3400	2527	785	1742	7951
Tb927.10.9920	Tb927_10_v5.1	2451296	2453380	+	2085	117	113	4	1218
Tb927.10.9930	Tb927_10_v5.1	2453502	2455542	+	2041	2371	1212	1159	5802
Tb927.10.9940	Tb927_10_v5.1	2455828	2456546	+	719	702	338	364	1022
Tb927.10.9950	Tb927_10_v5.1	2456710	2458101	+	1392	100	99	1	1171
Tb927.10.9960	Tb927_10_v5.1	2458238	2459762	+	1525	732	529	203	1808
Tb927.10.9970	Tb927_10_v5.1	2459956	2463477	+	3522	1310	1070	240	3677
Tb927.10.9980	Tb927_10_v5.1	2463604	2464704	+	1101	1	0	1	2
Tb927.10.9990	Tb927_10_v5.1	2464890	2466036	+	1147	1246	1022	224	5644
Tb927.10.10000	Tb927_10_v5.1	2466189	2468569	+	2381	2	0	2	2
Tb927.10.10010	Tb927_10_v5.1	2468670	2469421	+	752	953	412	541	1743
Tb927.10.10020	Tb927_10_v5.1	2469725	2472329	+	2605	525	313	212	773
Tb927.10.10030	Tb927_10_v5.1	2472479	2472886	+	408	636	509	127	4838
Tb927.10.10040	Tb927_10_v5.1	2473344	2474353	+	1010	245	240	5	555
Tb927.10.10050	Tb927_10_v5.1	2474041	2479372	+	5332	225	209	16	1236
Tb927.10.10070	Tb927_10_v5.1	2481212	2483861	+	2650	993	580	413	1980
Tb927.10.10080	Tb927_10_v5.1	2484217	2484672	+	456	1095	558	537	3206
Tb927.10.10090	Tb927_10_v5.1	2485280	2488960	+	3681	3704	1354	2350	10494
Tb927.10.10100	Tb927_10_v5.1	2489064	2492083	+	3020	563	225	338	1886
Tb927.10.10110	Tb927_10_v5.1	2492228	2492796	+	569	19	19	0	23
Tb927.10.10120	Tb927_10_v5.1	2492915	2494815	+	1901	113	105	8	899
Tb927.10.10130	Tb927_10_v5.1	2494981	2496793	+	1813	1482	553	929	3539
Tb927.10.10140	Tb927_10_v5.1	2496968	2498264	+	1297	1604	829	775	3051
Tb927.10.10150	Tb927_10_v5.1	2498411	2500811	+	2401	1529	695	834	2935
Tb927.10.10160	Tb927_10_v5.1	2500994	2502187	+	1194	1241	635	606	7995
Tb927.10.10170	Tb927_10_v5.1	2502312	2503704	+	1393	1025	782	243	8958
Tb927.10.10180	Tb927_10_v5.1	2503893	2504976	+	1084	1267	301	966	2299
Tb927.10.10190	Tb927_10_v5.1	2505108	2508146	+	3039	1308	951	357	4571
Tb927.10.10200	Tb927_10_v5.1	2508338	2510002	+	1665	3509	995	2514	7885
Tb927.10.10210	Tb927_10_v5.1	2510573	2512823	-	2251	3192	801	2391	8321
Tb927.10.10220	Tb927_10_v5.1	2512930	2514152	-	1223	1360	868	492	4478
Tb927.10.10230	Tb927_10_v5.1	2514260	2515375	-	1116	0	0	0	0
Tb927.10.10240	Tb927_10_v5.1	2515454	2517926	-	2473	1084	694	390	2703
Tb927.10.10250	Tb927_10_v5.1	2518065	2518785	-	721	480	429	51	2770
Tb927.10.10260	Tb927_10_v5.1	2519388	2520140	-	753	1959	971	988	6863
Tb927.10.10270	Tb927_10_v5.1	2520244	2523745	-	3502	868	687	181	7283
Tb927.10.10280	Tb927_10_v5.1	2524258	2531866	-	7609	3000	2705	295	3718
Tb927.10.10290	Tb927_10_v5.1	2532117	2532729	-	613	189	167	22	407
Tb927.10.10300	Tb927_10_v5.1	2532915	2535125	-	2211	1931	696	1235	2739
Tb927.10.10310	Tb927_10_v5.1	2535237	2536967	-	1731	3226	1308	1918	8455
Tb927.10.10320	Tb927_10_v5.1	2537407	2537840	-	434	0	0	0	0
Tb927.10.10330	Tb927_10_v5.1	2537986	2539782	-	1797	1181	758	423	2316
Tb927.10.10340	Tb927_10_v5.1	2540513	2544047	-	3535	211	208	3	4403
Tb927.10.10350	Tb927_10_v5.1	2544218	2547980	-	3763	1772	1436	336	7202
Tb927.10.10360	Tb927_10_v5.1	2548492	2558648	-	10157	2362	1516	846	2809
Tb927.10.10370	Tb927_10_v5.1	2558722	2559473	-	752	140	92	48	177
Tb927.10.10380	Tb927_10_v5.1	2559766	2561473	-	1708	931	304	627	3100
Tb927.10.10390	Tb927_10_v5.1	2562282	2563871	-	1590	934	702	232	2528
Tb927.10.10400	Tb927_10_v5.1	2563993	2565148	-	1156	274	160	114	1277
Tb927.10.10410	Tb927_10_v5.1	2565451	2567591	-	2141	83	74	9	90
Tb927.10.10420	Tb927_10_v5.1	2567695	2568301	-	607	0	0	0	0
Tb927.10.10430	Tb927_10_v5.1	2568505	2569588	-	1084	2	2	0	2
Tb927.10.10440	Tb927_10_v5.1	2569606	2571211	-	1606	368	350	18	1152
Tb927.10.10445	Tb927_10_v5.1	2571305	2571705	-	401	59	59	0	299
Tb927.10.10460	Tb927_10_v5.1	2571897	2572608	-	712	57	57	0	207
Tb927.10.10470	Tb927_10_v5.1	2572800	2573516	-	717	22	21	1	478
Tb927.10.10480	Tb927_10_v5.1	2573708	2574424	-	717	23	22	1	388
Tb927.10.10490	Tb927_10_v5.1	2574565	2575332	-	768	44	42	2	506
Tb927.10.10500	Tb927_10_v5.1	2575473	2576235	-	763	28	27	1	489
Tb927.10.10510	Tb927_10_v5.1	2576427	2578051	-	1625	73	71	2	362
Tb927.10.10520	Tb927_10_v5.1	2577284	2578954	-	1671	59	58	1	402
Tb927.10.10530	Tb927_10_v5.1	2579095	2579857	-	763	59	59	0	332
Tb927.10.10540	Tb927_10_v5.1	2580372	2580765	-	394	8	8	0	155
Tb927.10.10550	Tb927_10_v5.1	2580957	2581673	-	717	65	65	0	298
Tb927.10.10560	Tb927_10_v5.1	2582188	2582581	-	394	8	8	0	138
Tb927.10.10570	Tb927_10_v5.1	2582773	2583489	-	717	62	62	0	284
Tb927.10.10580	Tb927_10_v5.1	2583630	2584392	-	763	38	38	0	455
Tb927.10.10590	Tb927_10_v5.1	2584533	2585300	-	768	43	40	3	200
Tb927.10.10600	Tb927_10_v5.1	2585492	2586025	-	534	53	53	0	90
Tb927.10.10610	Tb927_10_v5.1	2586261	2587759	-	1499	0	0	0	0
Tb927.10.10620	Tb927_10_v5.1	2587917	2588889	-	973	1939	317	1622	3863
Tb927.10.10630	Tb927_10_v5.1	2589044	2590051	-	1008	148	129	19	438
Tb927.10.10640	Tb927_10_v5.1	2590192	2590603	-	412	492	254	238	910
Tb927.10.10650	Tb927_10_v5.1	2590706	2592407	-	1702	2310	1630	680	8261
Tb927.10.10670	Tb927_10_v5.1	2592563	2595173	-	2611	571	511	60	2453
Tb927.10.10680	Tb927_10_v5.1	2595567	2598555	-	2989	1213	960	253	4292
Tb927.10.10690	Tb927_10_v5.1	2599400	2600583	-	1184	0	0	0	0
Tb927.10.10700	Tb927_10_v5.1	2601059	2602136	-	1078	353	170	183	463
Tb927.10.10710	Tb927_10_v5.1	2602266	2603669	-	1404	2118	847	1271	7407
Tb927.10.10720	Tb927_10_v5.1	2603807	2605463	-	1657	1836	1181	655	6684
Tb927.10.10730	Tb927_10_v5.1	2605764	2610316	-	4553	4759	1565	3194	8305
Tb927.10.10740	Tb927_10_v5.1	2611259	2612979	-	1721	97	91	6	1883
Tb927.10.10750	Tb927_10_v5.1	2613107	2619143	-	6037	1361	785	576	4649
Tb927.10.10770	Tb927_10_v5.1	2619797	2621735	-	1939	4302	1253	3049	9857
Tb927.10.10780	Tb927_10_v5.1	2622292	2622965	-	674	0	0	0	0
Tb927.10.10790	Tb927_10_v5.1	2622996	2623451	-	456	3	0	3	3
Tb927.10.10800	Tb927_10_v5.1	2623580	2625065	-	1486	979	287	692	1556
Tb927.10.10810	Tb927_10_v5.1	2626943	2628853	-	1911	1	0	1	1
Tb927.10.10820	Tb927_10_v5.1	2629064	2630111	-	1048	0	0	0	0
Tb927.10.10830	Tb927_10_v5.1	2630233	2631537	-	1305	493	208	285	1245
Tb927.10.10840	Tb927_10_v5.1	2633043	2634775	-	1733	2	1	1	2
Tb927.10.10850	Tb927_10_v5.1	2634905	2638291	-	3387	234	224	10	1706
Tb10_tRNA_Asn_1:tRNA	Tb927_10_v5.1	2647484	2647556	+	73	439	353	86	2075
Tb10_tRNA_Ala_1:tRNA	Tb927_10_v5.1	2647635	2647706	-	72	76	73	3	155
Tb10_tRNA_Arg_1:tRNA	Tb927_10_v5.1	2647809	2647881	+	73	11	11	0	63
Tb10_tRNA_Lys_1:tRNA	Tb927_10_v5.1	2647941	2648012	+	72	0	0	0	0
Tb10_tRNA_Arg_2:tRNA	Tb927_10_v5.1	2648098	2648170	+	73	0	0	0	0
Tb927.10.10870	Tb927_10_v5.1	2650320	2652172	-	1853	2006	626	1380	2927
Tb927.10.10880	Tb927_10_v5.1	2652378	2654527	-	2150	440	291	149	1090
Tb927.10.10890	Tb927_10_v5.1	2654810	2657259	-	2450	166	157	9	890
Tb927.10.10900	Tb927_10_v5.1	2657585	2660034	-	2450	305	294	11	933
Tb927.10.10910	Tb927_10_v5.1	2660359	2662808	-	2450	158	141	17	560
Tb927.10.10920	Tb927_10_v5.1	2663109	2665557	-	2449	508	390	118	2318
Tb927.10.10930	Tb927_10_v5.1	2665888	2668337	-	2450	75	73	2	387
Tb927.10.10940	Tb927_10_v5.1	2668673	2671122	-	2450	139	129	10	536
Tb927.10.10950	Tb927_10_v5.1	2671444	2673893	-	2450	77	68	9	403
Tb927.10.10960	Tb927_10_v5.1	2674219	2676668	-	2450	167	156	11	649
Tb927.10.10970	Tb927_10_v5.1	2676994	2679443	-	2450	160	152	8	623
Tb927.10.10980	Tb927_10_v5.1	2679757	2682206	-	2450	130	125	5	492
Tb927.10.10990	Tb927_10_v5.1	2682476	2684828	-	2353	300	267	33	2461
Tb927.10.11000	Tb927_10_v5.1	2684956	2686399	-	1444	769	591	178	3731
Tb927.10.11010	Tb927_10_v5.1	2687002	2688023	-	1022	2240	645	1595	4087
Tb927.10.11020	Tb927_10_v5.1	2689374	2692783	-	3410	835	419	416	1305
Tb927.10.11030	Tb927_10_v5.1	2692365	2693651	-	1287	293	286	7	1257
Tb927.10.11040	Tb927_10_v5.1	2693765	2696532	-	2768	1140	1072	68	6809
Tb927.10.11050	Tb927_10_v5.1	2696650	2697721	-	1072	2464	987	1477	8226
Tb927.10.11060	Tb927_10_v5.1	2697821	2698644	-	824	0	0	0	0
Tb927.10.11070	Tb927_10_v5.1	2698918	2700472	-	1555	720	384	336	3832
Tb927.10.11080	Tb927_10_v5.1	2700598	2708882	-	8285	460	357	103	542
Tb927.10.11090	Tb927_10_v5.1	2708979	2711295	-	2317	715	307	408	947
Tb927.10.11100	Tb927_10_v5.1	2711216	2713413	-	2198	1904	619	1285	2874
Tb927.10.11110	Tb927_10_v5.1	2713985	2716740	-	2756	2773	1519	1254	6447
Tb927.10.11120	Tb927_10_v5.1	2716926	2717847	-	922	751	531	220	2162
Tb927.10.11130	Tb927_10_v5.1	2717995	2720950	-	2956	234	219	15	1792
Tb927.10.11140	Tb927_10_v5.1	2721709	2727387	-	5679	1429	1046	383	8786
Tb927.10.11150	Tb927_10_v5.1	2728700	2729676	-	977	29	29	0	1035
Tb927.10.11160	Tb927_10_v5.1	2729827	2731030	-	1204	1	1	0	1
Tb927.10.11170	Tb927_10_v5.1	2731152	2736881	-	5730	1112	445	667	6761
Tb927.10.11180	Tb927_10_v5.1	2737146	2739416	-	2271	1511	640	871	4811
Tb927.10.11190	Tb927_10_v5.1	2739762	2741279	-	1518	597	138	459	1357
Tb927.10.11200	Tb927_10_v5.1	2741708	2742087	-	380	237	123	114	300
Tb927.10.11210	Tb927_10_v5.1	2742219	2744603	-	2385	1334	735	599	6334
Tb927.10.11220	Tb927_10_v5.1	2744817	2746348	-	1532	1780	656	1124	4121
Tb927.10.11230	Tb927_10_v5.1	2746454	2747566	-	1113	2	0	2	2
Tb927.10.11240	Tb927_10_v5.1	2747723	2749098	-	1376	579	132	447	655
Tb927.10.11250	Tb927_10_v5.1	2749376	2752013	-	2638	0	0	0	0
Tb927.10.11260	Tb927_10_v5.1	2752139	2752767	-	629	0	0	0	0
Tb927.10.11270	Tb927_10_v5.1	2752861	2753830	-	970	591	493	98	1099
Tb927.10.11280	Tb927_10_v5.1	2757279	2758575	+	1297	864	419	445	1234
Tb927.10.11290	Tb927_10_v5.1	2758780	2760101	+	1322	0	0	0	0
Tb927.10.11300	Tb927_10_v5.1	2760412	2761091	+	680	0	0	0	0
Tb927.10.11310	Tb927_10_v5.1	2761296	2762576	+	1281	1	0	1	1
Tb927.10.11330	Tb927_10_v5.1	2764807	2765655	+	849	1721	678	1043	4178
Tb927.10.11340	Tb927_10_v5.1	2765788	2771300	+	5513	2699	1376	1323	7279
Tb927.10.11350	Tb927_10_v5.1	2771437	2772051	+	615	0	0	0	0
Tb927.10.11360	Tb927_10_v5.1	2772350	2774617	+	2268	347	32	315	1365
Tb927.10.11370	Tb927_10_v5.1	2774861	2775520	+	660	50	50	0	82
Tb927.10.11380	Tb927_10_v5.1	2775808	2777216	+	1409	0	0	0	0
Tb927.10.11390	Tb927_10_v5.1	2777377	2778078	+	702	0	0	0	0
Tb927.10.11400	Tb927_10_v5.1	2778268	2779928	+	1661	1543	768	775	3086
Tb927.10.11410	Tb927_10_v5.1	2780051	2781433	+	1383	1109	766	343	5145
Tb927.10.11420	Tb927_10_v5.1	2781564	2784332	+	2769	533	328	205	732
Tb927_10_v4.snoRNA.0036:snoRNA	Tb927_10_v5.1	2784498	2784565	+	68	0	0	0	0
Tb927_10_v4.snoRNA.0025:snoRNA	Tb927_10_v5.1	2784599	2784694	+	96	0	0	0	0
Tb927_10_v4.snoRNA.0049:snoRNA	Tb927_10_v5.1	2784778	2784843	+	66	0	0	0	0
Tb927_10_v4.snoRNA.0022:snoRNA	Tb927_10_v5.1	2784861	2784930	+	70	1	1	0	1
Tb927_10_v4.snoRNA.0038:snoRNA	Tb927_10_v5.1	2784976	2785040	+	65	13	13	0	305
Tb927_10_v4.snoRNA.0027:snoRNA	Tb927_10_v5.1	2785074	2785169	+	96	0	0	0	0
